,uk_house_price_idx,uk_cpi,uk_unemployment,uk_consumer_confidence,uk_real_gdp,uk_gdp_yoy_growth,uk_bond_yield_10y,uk_reer,uk_oil_price,uk_credit,uk_credit_qoq_growth,uk_credit_yoy_growth,uk_industrial_production,uk_ftse_close,uk_ftse_qoq_growth
1951-09-30,,,,,,,,,,,,,44.91,,
1951-12-31,,,,,,,,,,,,,43.86,,
1952-03-31,,,,,,,,,,,,,43.82,,
1952-06-30,,,,,,,,,,,,,41.91,,
1952-09-30,,,,,,,,,,,,,42.67,,
1952-12-31,,,,,,,,,,,,,43.45,,
1953-03-31,,,,,,,,,,,,,44.49,,
1953-06-30,,,,,,,,,,,,,44.31,,
1953-09-30,,,,,,,,,,,,,46.33,,
1953-12-31,,,,,,,,,,,,,46.85,,
1954-03-31,,,,,,,,,,,,,47.38,,
1954-06-30,,,,,,,,,,,,,48.2,,
1954-09-30,,,,,,,,,,,,,49.25,,
1954-12-31,,,,,,,,,,,,,50.2,,
1955-03-31,,,,,145457.0,,,,,,,,51.37,,
1955-06-30,,,,,145551.0,,,,,,,,51.61,,
1955-09-30,,,,,147995.0,,,,,,,,51.81,,
1955-12-31,,,,,147119.0,,,,,,,,53.14,,
1956-03-31,,5.537024,,,148955.0,2.4048344184191883,,,,,,,50.68,,
1956-06-30,,6.551241,,,148835.0,2.2562538216845063,,,,,,,53.34,,
1956-09-30,,4.664071,,,148665.0,0.4527179972296347,,,,,,,51.76,,
1956-12-31,,3.244983,,,149607.0,1.6911479822456554,,,,,,,51.09,,
1957-03-31,,3.816794,,,152331.0,2.266456312309084,,,,,,,52.4,,
1957-06-30,,2.340702,,,152285.0,2.318003157859372,,,,,,,51.69,,
1957-09-30,,4.144908,,,151340.0,1.799347526317563,,,,,,,52.88,,
1957-12-31,,4.46313,,97.30759,151857.0,1.5039403236479565,,,,,,,51.94,,
1958-03-31,,3.612532,,97.6257,155117.0,1.8289120402281922,,,,,,,52.89,,
1958-06-30,,4.5108,,98.21606,151257.0,-0.6750500705913209,,,,,,,52.01,,
1958-09-30,,1.911626,,99.35917,154551.0,2.121712699881062,,,,,,,50.89,,
1958-12-31,,1.981424,,100.1338,155042.0,2.0973679185022798,,,,,,,52.92,,
1959-03-31,,2.128973,,99.74038,156009.0,0.5750498011178662,,,,,,,50.65,,
1959-06-30,,-0.3343465,,99.58183,158487.0,4.779944068704256,,,,,,,54.96,,
1959-09-30,,0.5535055,,101.377,161850.0,4.72271289089039,,,,,,,55.85,,
1959-12-31,,-1.887379e-13,,104.111,165941.0,7.029708079101149,,,,,,,57.13,,
1960-03-31,,-0.4531722,,103.3208,170121.0,9.04563198277022,5.59,,,,,,58.6,,
1960-06-30,,1.097896,,101.6923,168948.0,6.600541369323665,6.04,,,,,,57.45,,
1960-09-30,,1.529052,,100.9893,171442.0,5.926475131294406,6.1,,,,,,58.82,,
1960-12-31,,1.851852,,100.7004,172382.0,3.88150005122303,6.17,,,,,,59.33,,
1961-03-31,,2.367223,,100.6837,175276.0,3.0301961545017964,6.06,,,,,,58.58,,
1961-06-30,,3.016591,,99.36481,175974.0,4.158676042332554,6.34,,,,,,60.61,,
1961-09-30,,4.156627,,97.12199,175126.0,2.1488316748521363,6.68,,,,,,59.31,,
1961-12-31,,4.232489,,96.47256,174768.0,1.3841352345372426,6.25,,,,,,59.41,,
1962-03-31,,4.715387,,96.88323,175568.0,0.16659439968962353,6.27,,,,,,60.07,,
1962-06-30,,5.629575,,97.42307,177216.0,0.7057860820348427,6.19,,,,,,60.23,,
1962-09-30,,3.84037,,98.06279,178265.0,1.7924237406210297,4.89,,,,,,60.93,,
1962-12-31,,2.648699,,98.76785,177632.0,1.6387439348164445,5.14,,,,,,58.87,,
1963-03-31,,3.127079,,99.55959,178493.0,1.6660211428050742,5.45,,,,,,60.49,,
1963-06-30,,1.563518,,100.6012,186171.0,5.053155471289283,5.08,,,,,,61.4,,
1963-09-30,,1.3089,,101.7224,187001.0,4.900569377051012,4.9,,,,,,63.7,,
1963-12-31,,2.094926,,102.149,191230.0,7.6551522248243575,5.24,,,,,,64.53,,
1964-03-31,,1.516129,,101.8278,192542.0,7.870896897917556,5.46,,,,,,63.38,,
1964-06-30,,2.79025,,101.9784,196109.0,5.338103141735284,5.64,,,,,,68.13,,
1964-09-30,,4.328166,,102.1139,196783.0,5.2309880695825095,5.77,,,,,,67.12,,
1964-12-31,,4.488618,,100.8629,199854.0,4.509752653872301,6.38,,,,,,68.44,,
1965-03-31,,4.512234,,99.40257,199276.0,3.4974187450010907,6.52,,,,,,67.71,,
1965-06-30,,5.179407,,98.47281,199419.0,1.6878368662325505,6.73,,,,,,67.65,,
1965-09-30,,4.829721,,98.70433,200957.0,2.121118186022164,6.47,,,,,,68.55,,
1965-12-31,,4.571955,,99.81586,202259.0,1.2033784662803804,6.59,,,,,,69.63,,
1966-03-31,,4.378231,,100.6617,202588.0,1.6620164997290132,6.73,,,107.619,,,70.16,,
1966-06-30,,3.797093,,99.14777,203766.0,2.179832413160221,7.0,,,109.929,2.146461126752719,,69.67,,
1966-09-30,,3.662138,,95.98278,204428.0,1.7272351796653096,7.0,,,119.115,8.356302704472874,,69.42,,
1966-12-31,,3.814554,,95.18848,203611.0,0.6684498588443555,6.63,,,162.449,36.37996893758135,,68.74,,
1967-03-31,,3.612001,,96.65425,206330.0,1.8470985448298949,6.43,,,155.877,-4.045577381208876,44.841524266161194,66.13,,
1967-06-30,,2.543584,,98.82564,209227.0,2.680034942041365,6.64,,,157.095,0.7813853230431711,42.9058756106214,70.14,,
1967-09-30,,1.680912,,100.4658,210092.0,2.7706576398536464,6.74,,,164.444,4.678061045863968,38.054820971330216,69.63,,
1967-12-31,,2.119842,,100.9399,211166.0,3.7105067997308616,7.31,,,149.311,-9.202524871688833,-8.087461295545062,71.68,,
1968-03-31,,3.008153,,100.3143,218997.0,6.139194494256772,7.3,,,142.379,-4.642658611890626,-8.659391699865937,72.1,,
1968-06-30,22.598226851816,4.542921,,100.245,218081.0,4.231767410515852,7.61,,,146.788,3.0966645362026757,-6.5609981221553815,72.7,,
1968-09-30,22.7415801060468,5.63183,,101.1946,222325.0,5.822687203701227,7.5,,,149.287,1.7024552415728866,-9.217119505728387,73.1,,
1968-12-31,22.4372497009217,5.590922,,101.0282,223067.0,5.635850468351911,8.01,,,153.922,3.104757949453063,3.088185063391169,73.9,,
1969-03-31,22.461169102873,6.222707,,99.67988,222725.0,1.702306424288924,8.66,,,144.907,-5.856862566754584,1.7755427415560021,74.4,,
1969-06-30,22.7729357467462,5.385231,,98.21003,224353.0,2.8759956163076916,9.29,,,148.165,2.248338589578136,0.9380875820911738,76.1,,
1969-09-30,22.4125086528534,5.066313,,97.06976,225601.0,1.4735184976948146,9.06,,,148.665,0.337461613741441,-0.4166471293548746,74.8,,
1969-12-31,22.52004105059,5.137615,,96.74016,226619.0,1.5923466940426012,8.91,,,157.896,6.209262435677521,2.5818271592104924,75.8,,
1970-03-31,22.3555813339547,5.010277,,97.29564,225223.0,1.1215624649231204,8.54,,,149.568,-5.274357805137542,3.216545784537672,76.1,,
1970-06-30,22.5280369537335,5.86896,,97.29635,230605.0,2.7866799195910064,8.85,,,153.077,2.3460900727428236,3.315222893395875,75.1,,
1970-09-30,22.7881893806006,6.841707,,96.94682,232800.0,3.1910319546455845,8.43,,,153.834,0.4945223645616226,3.4769448087983212,75.2,,
1970-12-31,22.3379748628552,7.703815,,96.97794,234954.0,3.677979339772919,8.93,,,164.376,6.852841374468577,4.103967168262668,75.9,,
1971-03-31,22.3767711257773,8.588206,,97.81056,233843.0,3.8273178138999997,8.34,,,161.367,-1.8305592057234699,7.888719512195097,74.0,,
1971-06-30,22.6474454298131,9.844684,,99.87405,238030.0,3.21979141822597,8.14,,,165.089,2.306543469234734,7.847031232647628,75.1,,
1971-09-30,23.3194030973522,10.11342,,102.4618,242078.0,3.9853951890034267,7.47,,,178.314,8.010830521718582,15.913257147314642,74.6,,
1971-12-31,24.2584931224974,9.212963,,104.5947,243009.0,3.428330651957401,7.09,,,197.745,10.897069214980327,20.30040881880566,75.1,,
1972-03-31,25.3804234691872,7.954033,,106.126,243540.0,4.146799348280683,7.39,,,202.473,2.390958052036729,25.473609845879274,73.7,,
1972-06-30,27.595363732252,6.177942,,106.7716,249966.0,5.014493971348144,8.95,,,191.096,-5.619020807712638,15.753320935979986,77.4,,
1972-09-30,30.5225231139021,6.459228,,106.1577,250633.0,3.5339849139533586,9.29,,,199.216,4.249173190438316,11.722018461814553,78.4,,
1972-12-31,32.0393281035064,7.715134,,105.7263,254524.0,4.738507627289534,9.36,,,203.515,2.15795920006423,2.917899314774064,80.7,,
1973-03-31,35.2210599745985,7.931538,,104.9635,267015.0,9.639073663463904,9.78,,,216.67,6.463897010048392,7.011799104078054,83.2,,
1973-06-30,36.5212441626845,9.32186,,104.019,267521.0,7.022955121896568,9.88,,,240.588,11.038907093737027,25.899024574036076,84.1,,
1973-09-30,37.59722547627,9.191695,,101.8378,265025.0,5.74226059617049,11.48,,,229.231,-4.7205180640763515,15.066560918801697,83.2,,
1973-12-31,36.5873074121792,10.27155,,98.33694,263989.0,3.7187062909588064,12.64,,,222.505,-2.93415811997505,9.331007542441604,82.4,,
1974-03-31,35.3827917825195,12.86935,,95.9575,256670.0,-3.874314177106153,13.51,,,228.628,2.7518482730725102,5.518992015507451,79.2,,
1974-06-30,34.0439830046169,15.88516,,94.92621,260347.0,-2.681658636144457,13.81,,,237.189,3.7445107335934313,-1.4127886677639756,84.6,,
1974-09-30,32.5797386257113,17.02031,,93.86964,261890.0,-1.182907272898781,14.17,,,239.912,1.1480296303791437,4.6594919535315915,83.0,,
1974-12-31,31.452074697293,18.18084,,93.49813,258066.0,-2.243654091647762,16.32,,,242.702,1.1629264063489853,9.077099391024923,79.8,,
1975-03-31,29.7079519648637,20.30891,,94.90421,258116.0,0.5633693068921142,12.24,,,261.644,7.804632841921366,14.440925870846977,78.4,,
1975-06-30,28.9169143463375,24.2866,,96.79651,253935.0,-2.462866866144031,12.99,,,249.09,-4.798122639922953,5.017517675777539,76.6,,
1975-09-30,28.3527028300119,26.56581,,98.20002,253168.0,-3.3304058956050264,12.76,,,238.751,-4.15070857922839,-0.48392744006136024,76.0,,
1975-12-31,27.3163590324461,25.31132,,99.68929,255985.0,-0.8063828632985381,13.57,,,251.944,5.525840729462916,3.8079620275069725,76.6,,
1976-03-31,26.9674737830947,22.45288,,101.0707,260268.0,0.8337336701328191,12.55,,,248.543,-1.349903153081633,-5.007185335799791,78.2,,
1976-06-30,26.9547796324313,15.97205,,100.9758,259911.0,2.3533581428318184,13.45,,,239.68,-3.5659825462797223,-3.777751013689834,78.6,,
1976-09-30,26.6157409608578,13.65049,,99.8261,263132.0,3.9357264741199494,14.18,,,233.09,-2.7494993324432615,-2.371089545174676,80.0,,
1976-12-31,25.6963942278997,14.92951,,99.51487,268662.0,4.952243295505587,15.17,,,249.242,6.929512205585819,-1.0724605467881787,82.9,,
1977-03-31,25.0041827942432,16.5068,,100.3817,268833.0,3.2908386739822104,12.44,,,264.384,6.075220067243903,6.373545020378768,84.3,,
1977-06-30,24.4224360630841,17.40908,,101.8375,266987.0,2.722470384093012,12.52,,,271.995,2.878767247639802,13.482560080106797,82.2,,
1977-09-30,24.4992778945869,16.57552,,103.0256,268717.0,2.12250885487133,11.03,,,296.912,9.160830162319144,27.380840018876818,83.7,,
1977-12-31,24.828002555249,13.07058,,103.1834,273279.0,1.718516202514686,10.7,,,335.531,13.006884194643531,34.62056956692694,84.3,,
1978-03-31,24.7790303762232,9.496458,,102.8979,275841.0,2.6068228230909263,11.2,,,332.339,-0.9513278951870374,25.70314391188573,83.2,,
1978-06-30,25.4844955598127,7.679619,,102.9914,279001.0,4.499844561720234,12.48,,,339.552,2.1703742263171177,24.83758892626704,85.4,,
1978-09-30,26.4874978747421,7.849152,,103.1223,282797.0,5.239713155475845,12.38,,,368.583,8.54979502403166,24.138802069300013,87.3,,
1978-12-31,27.5403584719614,8.091766,,102.675,285314.0,4.40392419468747,13.12,,,391.119,6.1142266463727335,16.56717263084484,88.9,,
1979-03-31,28.3588782485289,9.582095,,103.0225,284457.0,3.1235385602575327,12.08,,,419.442,7.241530071410485,26.2090816906833,90.1,,
1979-06-30,29.8636086409909,10.58723,,102.2938,296841.0,6.3942423145436855,12.56,,,452.937,7.985609452558395,33.392528979361025,92.9,,
1979-09-30,29.9045659042297,15.97792,,100.5252,290297.0,2.652079053172418,12.56,,,481.029,6.202187059127429,30.507646852947623,88.3,,
1979-12-31,30.6532200876356,17.25897,,99.36371,293265.0,2.7867542426940117,15.02,,,493.329,2.557018391822541,26.13271152769361,90.3,,
1980-03-31,30.9676827788585,19.08409,,98.12182,290378.0,2.0815096833616265,14.93,,,499.532,1.257375909382974,19.094415914476848,87.1,,
1980-06-30,30.9052596981704,21.54841,,96.87501,284713.0,-4.08568897153695,13.78,,,577.798,15.667865121753977,27.56696847464437,84.8,,
1980-09-30,30.9876424762832,16.35892,,96.44223,284402.0,-2.030678925376428,13.47,,,605.58,4.808254788005506,25.89261770080391,80.3,,
1980-12-31,30.0420292851434,15.27992,,97.22905,281496.0,-4.01309395938827,13.78,,,623.253,2.9183592588923,26.336177277232853,79.5,,
1981-03-31,29.5452792030595,12.70267,,98.7111,281257.0,-3.141078180853918,13.66,,,599.159,-3.865845812214308,19.944067647317887,80.1,,
1981-06-30,29.4237405251518,11.70065,,99.25027,282155.0,-0.8984486131648373,14.69,,,536.015,-10.538771845203032,-7.231419977223874,81.0,,
1981-09-30,28.8973220766293,11.25713,,98.7705,285437.0,0.36392149141004637,15.81,,,512.056,-4.469837597828407,-15.443706859539619,81.6,,
1981-12-31,27.7304088210533,11.9036,,98.43566,285814.0,1.533947196407759,16.0,,,566.752,10.681644195166129,-9.06549988527935,81.2,,
1982-03-31,26.5320911511741,11.12828,,98.60162,286275.0,1.7841333726805075,14.01,,,547.056,-3.4752413754163936,-8.696022257864765,81.9,,
1982-06-30,27.2746445308193,9.352681,,98.87374,289232.0,2.5081958497988666,13.75,,,556.037,1.6416966453160153,3.735343227335064,82.6,,
1982-09-30,27.2705029537889,7.978605,,99.60332,289852.0,1.546751121963874,11.51,,,570.115,2.5318459023410345,11.338408299092272,83.3,,
1982-12-31,27.42280751751,6.167066,,100.4243,291832.0,2.1055651577599477,11.58,,,568.073,-0.3581733509905982,0.23308254756930769,82.6,,
1983-03-31,27.9594804859195,4.964159,10.8,101.137,297563.0,3.943061741332632,11.38,,,534.899,-5.839742427469707,-2.222258781550712,83.7,,
1983-06-30,28.5334380278307,3.783952,10.9,101.8355,299623.0,3.592617690988553,10.99,,,573.237,7.167334393969704,3.0933193294690797,84.4,,
1983-09-30,29.1065613830085,4.643963,10.9,102.0145,303085.0,4.565433393593965,11.25,,,575.897,0.46403145644822175,1.014181349376897,86.3,,
1983-12-31,29.2417857730191,5.050712,10.8,101.9623,305361.0,4.63588640039474,10.77,,,573.747,-0.37333064766791324,0.9988152931049266,87.4,,
1984-03-31,29.5309801831203,5.157476,10.8,101.7672,307964.0,3.495394252645667,10.66,,,587.023,2.313911881020747,9.744643381273853,86.8,1112.5,
1984-06-30,29.6218048631626,5.144341,10.7,101.0511,304892.0,1.7585432359999098,11.59,,,569.762,-2.940429932046973,-0.6062065079539547,85.2,1041.4000244140625,-6.391009041432582
1984-09-30,30.0895398841777,4.714004,10.9,100.498,307122.0,1.3319695794909103,11.23,,,542.368,-4.807972451655229,-5.822048039840455,85.0,1140.300048828125,9.496833310495468
1984-12-31,30.4220054290061,4.837137,11.1,100.3288,312697.0,2.4024024024023927,10.87,,,527.673,-2.7094150097350944,-8.030368786242015,86.0,1232.199951171875,8.059273735732496
1985-03-31,30.514576153074,5.502947,11.2,100.0251,315753.0,2.5291917237079575,11.33,,,578.462,9.625089780981778,-1.4583755662043951,89.7,1277.0,3.635777520159622
1985-06-30,30.9417171026787,6.968751,11.3,99.68945,322451.0,5.759088464111883,11.03,,,611.312,5.678851851979916,7.292518630586109,93.3,1234.9000244140625,-3.2967874382096696
1985-09-30,30.8699416555952,6.302005,11.2,99.6912,322392.0,4.971965538124912,10.68,,,689.376,12.769911272803402,27.10484394359547,92.2,1290.0,4.4618976837482505
1985-12-31,31.8605048469548,5.510506,11.1,99.75021,322604.0,3.16824273977685,10.78,,,719.413,4.357128765724361,36.33689804102163,89.0,1412.5999755859375,9.503874076429252
1986-03-31,32.8975498112367,4.929322,11.1,99.74336,325968.0,3.235123656782357,9.69,,,782.167,8.722944956513157,35.21493200936276,91.6,1668.800048828125,18.136774576674995
1986-06-30,33.836097196386,2.768045,11.3,99.89884,328872.0,1.991310307612637,9.45,,,831.74,6.337904820837492,36.05818305546104,92.5,1649.800048828125,-1.1385426320752012
1986-09-30,34.5231382597305,2.621461,11.3,100.0475,330966.0,2.6594952728355548,10.28,,,790.112,-5.004929425060722,14.61263519472682,94.1,1555.800048828125,-5.697660153833151
1986-12-31,35.2791577263698,3.443478,11.2,100.7936,337367.0,4.576198683215327,10.98,,,840.879,6.425291604228267,16.88404296280439,94.4,1679.0,7.91875223713181
1987-03-31,36.6635904337262,3.972366,11.0,102.0951,339754.0,4.229249496883125,9.11,,,957.939,13.921146799955753,22.472438750292454,95.1,1997.5999755859375,18.975579248715757
1987-06-30,37.7986801641893,4.193658,10.6,103.0473,344795.0,4.841701330608861,8.93,,19.08,987.586,3.094873473154358,18.737345805179494,95.7,2284.10009765625,14.342216938918217
1987-09-30,38.9105352935485,4.325613,10.1,102.6968,353365.0,6.767764664648324,10.21,,18.48,1024.281,3.715625778413223,29.637443805435183,96.5,2366.0,3.5856529417335414
1987-12-31,40.8111699446994,4.102219,9.6,101.7132,357439.0,5.949603843885143,9.63,,17.6,1209.991,18.130766850112433,43.8959707639268,98.4,1713.9000244140625,-27.561283837106398
1988-03-31,43.0476737835236,3.176335,9.1,101.241,363267.0,6.920595489677828,9.22,,15.65,1277.674,5.593677969505562,33.37738624275659,99.7,1742.5,1.6687073445672551
1988-06-30,44.7825643146004,3.785486,8.7,101.278,365209.0,5.920619498542612,9.51,,14.18,1200.646,-6.028767901671317,21.57381736881647,100.4,1857.5999755859375,6.6054505357783455
1988-09-30,49.5201487996582,4.626928,8.3,100.9575,369774.0,4.643640428452156,10.1,,11.93,1230.922,2.521642515779021,20.17424905860794,103.0,1826.5,-1.6742019807643338
1988-12-31,52.2343984926702,5.005702,7.9,100.5647,372752.0,4.284087634533451,10.14,,16.23,1356.022,10.163113503536358,12.068767453642204,102.3,1793.0999755859375,-1.8286353361107288
1989-03-31,53.2725857618028,5.8,7.5,100.5588,374612.0,3.1230472352291816,9.88,,20.45,1322.398,-2.479605788106687,3.500423425693877,101.8,2075.0,15.721377962873762
1989-06-30,54.1356728942604,5.8,7.1,100.5502,376951.0,3.2151453003622654,10.55,,18.28,1247.319,-5.677488925421848,3.8873239905850676,101.7,2151.0,3.662650602409645
1989-09-30,54.29329881013,5.6,7.0,100.1032,377573.0,2.1091261148701745,10.21,,18.23,1353.112,8.48163140303324,9.926705347698729,103.5,2299.39990234375,6.899112149872155
1989-12-31,52.9705318219333,5.7,6.8,99.59843,377508.0,1.2759153539082302,10.56,,21.05,1371.339,1.3470429646621929,1.1295539452899739,103.6,2422.699951171875,5.362270769101407
1990-03-31,51.5514289699055,6.1,6.8,99.36288,379458.0,1.2936051167607987,12.42,,17.95,1456.819,6.233323780626088,10.164942778195375,103.3,2247.89990234375,-7.215092762253661
1990-06-30,50.42746714024,8.0,6.7,99.44415,381997.0,1.338635525572296,11.8,,15.73,1610.838,10.572281113851488,29.144028111493526,105.0,2374.60009765625,5.636380658248941
1990-09-30,49.2501253261601,8.8,6.8,99.09236,377831.0,0.06833115715372262,12.1,,41.0,1755.957,9.008913373039373,29.77174099409361,102.0,1990.199951171875,-16.187995059200965
1990-12-31,47.9905127214458,9.2,7.1,98.61864,375916.0,-0.4217129173421541,10.84,,28.35,1846.778,5.172165377625992,34.669691447556005,100.9,2143.5,7.702746085279433
1991-03-31,46.6197340437972,8.4,7.7,98.93142,374060.0,-1.4225553289165083,10.29,,18.0,1692.002,-8.380866568694234,16.143597797667386,99.5,2456.5,14.60228598087241
1991-06-30,45.1221382252221,7.7,8.5,99.74954,373608.0,-2.1960905452137025,10.58,,18.48,1638.462,-3.1642988601668254,1.714883805820322,99.7,2414.800048828125,-1.697535158635255
1991-09-30,44.5594212819456,7.3,9.0,100.4175,372878.0,-1.3109035521172152,9.64,,21.43,1781.766,8.746251057394083,1.4697968116531346,97.9,2621.699951171875,8.56799313235712
1991-12-31,43.9475978826296,6.5,9.1,100.3971,373357.0,-0.680737185967073,9.66,,17.75,1896.386,6.432943495386034,2.686191843307628,99.0,2493.10009765625,-4.9052086779855175
1992-03-31,43.1132945148343,6.3,9.3,100.4307,373317.0,-0.198631235630653,9.68,,19.09,1773.281,-6.491558153245169,4.803717726101975,99.2,2440.10009765625,-2.1258673107359405
1992-06-30,42.1101613756707,5.0,9.8,100.0188,372751.0,-0.22938480974711295,9.12,,20.6,1966.529,10.897765216003563,20.022862904357865,98.8,2521.199951171875,3.323628141055468
1992-09-30,41.5670263865988,4.0,9.9,99.14784,374537.0,0.4449176406223998,9.19,,20.18,1864.409,-5.192905876292686,4.6382633858767175,100.2,2553.0,1.261306102014803
1992-12-31,40.3253848486629,3.3,10.4,99.38403,377418.0,1.0876989048015817,8.32,,17.85,1660.625,-10.930219710374711,-12.432120886781483,99.8,2846.5,11.496278887583244
1993-03-31,40.1618071792059,3.1,10.6,100.0277,379370.0,1.6214102224115123,7.72,,18.7,1652.12,-0.512156567557398,-6.8325888564756525,100.5,2878.699951171875,1.131212055923947
1993-06-30,40.3177973455655,2.3,10.4,100.5829,381045.0,2.2250778669943294,7.96,,17.43,1694.039,2.5372854272086798,-13.856393676370903,100.8,2900.0,0.739919032529035
1993-09-30,40.3636614417584,2.5,10.2,100.9979,384524.0,2.6664922290721593,6.96,,17.23,1743.053,2.8933218184469256,-6.509086793723906,102.3,3037.5,4.741379310344818
1993-12-31,39.9098126861345,2.2,10.3,100.9995,387143.0,2.576718651468668,6.4253,,13.18,1779.347,2.082208630489135,7.149235980429047,103.8,3418.39990234375,12.539914480452685
1994-03-31,40.5018482930965,2.4,9.9,100.5743,391026.0,3.0724622400295276,7.417,112.63,13.25,1768.2,-0.6264657764899151,7.0261240103624445,105.2,3086.39990234375,-9.712146310686808
1994-06-30,40.6426711179097,2.4,9.7,100.2313,394588.0,3.554173391594162,8.7105,113.09,17.45,1820.679,2.9679334916864697,7.475624823277394,106.6,2919.199951171875,-5.417313260180789
1994-09-30,40.6338677894024,2.1,9.4,100.0983,398566.0,3.65178766474914,8.8959,111.35,16.73,1897.2,4.202882550960374,8.843506192869643,108.6,3026.300048828125,3.6688167802022553
1994-12-31,40.6298807769907,2.1,9.0,99.8025,400279.0,3.393061478575099,8.5814,111.87,16.23,1920.452,1.225595614589925,7.930156400072619,109.8,3065.5,1.2953094716121827
1995-03-31,40.0774731619361,2.4,8.9,99.71246,402390.0,2.906200610701082,8.5938,108.56,17.98,2005.465,4.426718293401755,13.418448139350737,108.3,3137.89990234375,2.361764878282502
1995-06-30,40.0152701878514,2.5,8.7,99.89773,403259.0,2.19748193051994,8.1097,106.74,16.58,2032.522,1.3491634109795037,11.635384381321456,108.5,3314.60009765625,5.631160993393047
1995-09-30,39.2379373642298,2.9,8.6,100.0213,407795.0,2.3155512512356813,7.9486,107.61,16.58,2048.199,0.7713077644424082,7.959044908285895,109.7,3508.199951171875,5.840820847513983
1995-12-31,39.2260998354029,3.0,8.3,99.98956,409132.0,2.2117073341344495,7.4926,105.76,18.65,2075.086,1.312714243098445,8.051958601412569,110.4,3689.300048828125,5.1621942927100095
1996-03-31,39.6151650912205,3.0,8.2,100.0543,412022.0,2.3936976565023915,8.057,105.9,20.33,2019.756,-2.666395513246189,0.7126028128140005,110.9,3699.699951171875,0.2818936439461961
1996-06-30,38.9009707037829,2.8,8.3,100.0612,413325.0,2.496162515901701,8.054,109.0,19.28,2106.495,4.294528646034457,3.6394686010778665,109.7,3711.0,0.30543149383088775
1996-09-30,39.4770004886989,2.7,8.1,100.1569,417019.0,2.261920818058094,7.8151,109.57,24.15,2163.322,2.6977040059435353,5.620694082948008,111.0,3953.699951171875,6.540014852381426
1996-12-31,40.7436549837628,2.9,7.8,100.3367,422639.0,3.3013795058807416,7.5716,118.43,23.9,2373.0,9.692408249904538,14.356706179888468,112.0,4118.5,4.168248750876469
1997-03-31,41.5384977375735,2.4,7.3,100.6629,429418.0,4.222104644897606,7.4544,120.32,18.53,2284.052,-3.7483354403708313,13.08554102574766,111.2,4312.89990234375,4.720162737495448
1997-06-30,41.6033279498479,2.1,7.2,100.999,434199.0,5.05026311014336,7.1418,124.23,18.22,2412.291,5.61453942379595,14.516815848126875,111.3,4604.60009765625,6.7634353200263675
1997-09-30,42.8772333077107,2.3,6.8,101.2385,438100.0,5.055165352178204,6.8216,124.82,19.96,2415.098,0.11636241232917399,11.638396872957424,111.7,5244.2001953125,13.890459194964787
1997-12-31,43.4769467543398,2.1,6.5,101.2693,444540.0,5.181963803624368,6.3739,131.82,15.86,2493.806,3.258998185580886,5.090855457227139,112.4,5135.5,-2.072769750660186
1998-03-31,44.7844511428107,1.8,6.4,101.1791,447712.0,4.260184715126059,5.992,133.39,13.87,2584.769,3.6475571876882107,13.165943682543112,114.3,5932.2001953125,15.513585732888725
1998-06-30,46.3620741955229,2.0,6.3,100.5185,450292.0,3.706365053811722,5.7743,133.44,11.84,2622.52,1.4605173615127809,8.714910431618739,113.3,5832.60009765625,-1.6789739789117686
1998-09-30,47.3092094037991,1.7,6.2,99.54459,451005.0,2.9456745035379983,5.151,132.52,14.71,2774.729,5.803921419093072,14.890948524656134,112.8,5064.39990234375,-13.170801742797188
1998-12-31,47.742646201451,1.7,6.1,99.42179,453937.0,2.1138705178386674,4.5175,128.95,10.54,2760.807,-0.5017426927098168,10.70656658938185,113.1,5882.60009765625,16.155916023413663
1999-03-31,48.4495702294735,2.0,6.2,100.1807,457044.0,2.084375670073624,4.6554,131.07,15.02,2746.448,-0.5201015500178041,6.2550657331467585,113.5,6295.2998046875,7.015600247850906
1999-06-30,49.8520719818104,1.8,6.0,100.9157,458710.0,1.8694535989979943,5.1716,132.3,16.97,2736.499,-0.3622497130839619,4.346163232310896,114.0,6318.5,0.3685320164613204
1999-09-30,52.3536537057682,1.6,5.9,100.7137,466387.0,3.4106052039334367,5.6909,132.41,22.98,2881.364,5.293807891031577,3.84307800869923,116.3,6029.7998046875,-4.569125509416794
