,uk_house_price_idx,uk_cpi,uk_unemployment,uk_consumer_confidence,uk_real_gdp,uk_gdp_yoy_growth,uk_bond_yield_10y,uk_reer,uk_oil_price,uk_credit,uk_credit_qoq_growth,uk_credit_yoy_growth,uk_industrial_production,uk_ftse_close,uk_ftse_qoq_growth
1999-12-31,54.2955766478021,1.5,5.8,100.338,473892.0,4.395984464804581,5.389,133.75,24.93,2906.545,0.8739263765355609,5.278818838115096,115.6,6930.2001953125,14.932508869117655
2000-03-31,56.2823668443576,1.1,5.8,100.2273,480212.0,5.0690961920515365,5.3707,132.99,23.98,2909.532,0.10276806311273479,5.937997005586859,116.6,6540.2001953125,-5.6275430580460135
2000-06-30,58.4669705107362,1.0,5.5,100.4245,483672.0,5.441782389745153,5.2097,128.94,31.58,2852.321,-1.9663299802167633,4.232488299831294,117.2,6312.7001953125,-3.4784867925457985
2000-09-30,58.7837210617913,1.2,5.3,100.4849,486617.0,4.337599461391495,5.3873,128.53,28.42,2820.283,-1.1232256117035933,-2.1198640643806277,116.1,6294.2001953125,-0.29306001279353344
2000-12-31,61.4298553324286,1.4,5.2,100.6078,489506.0,3.2948435508512564,4.9118,129.37,22.58,2910.608,3.2026927794125637,0.1397879613080244,117.1,6222.5,-1.1391470415240024
2001-03-31,61.4041536305858,1.3,5.1,100.674,493575.0,2.782729294561559,4.703,127.19,23.5,2832.834,-2.672087756235131,-2.636094052239335,116.2,5633.7001953125,-9.462431573925267
2001-06-30,62.4644382331261,1.8,5.0,100.6668,495602.0,2.4665475776972867,5.1951,128.89,26.21,2821.042,-0.4162615952787885,-1.0966157034919988,115.0,5642.5,0.156199378426658
2001-09-30,64.0258296278089,1.8,5.1,100.282,497938.0,2.3264703041611767,4.9876,129.62,21.87,2991.475,6.041491051887915,6.070029142465483,114.6,4903.39990234375,-13.098805452481166
2001-12-31,64.0887758957543,1.4,5.2,100.1292,499278.0,1.9962983089073516,4.8928,129.16,19.35,3016.14,0.8245096482504488,3.625771660079269,113.3,5217.39990234375,6.403719995383472
2002-03-31,66.5501031675635,1.7,5.2,100.5474,500794.0,1.4625943372334582,5.2202,128.14,25.34,3009.337,-0.22555319050175937,6.230615701449516,114.3,5271.7998046875,1.0426630766660727
2002-06-30,70.5851373434112,1.3,5.2,100.6266,503433.0,1.5800985468177986,5.099,126.25,25.33,3335.025,10.822583180281908,18.219615305266636,110.1,4656.39990234375,-11.673430804344243
2002-09-30,74.5114150233259,1.3,5.3,100.1922,506386.0,1.6965967650591107,4.5006,130.47,29.11,3548.272,6.394164961282134,18.612791348749358,113.4,3721.800048828125,-20.071296991592234
2002-12-31,78.509219536299,1.6,5.1,99.39234,509728.0,2.0930223242362045,4.5644,129.61,30.12,3704.425,4.400818201084933,22.820061402985292,112.6,3940.39990234375,5.873498055986515
2003-03-31,80.8662882793289,1.5,5.2,98.87636,514031.0,2.6432025942802806,4.3243,123.45,28.05,3623.338,-2.188922707302754,20.403198445371864,112.4,3613.300048828125,-8.301184184911437
2003-06-30,82.0742542415877,1.3,4.9,99.17987,518802.0,3.052839206011515,4.1127,123.03,28.88,3888.937,7.330229749474104,16.608930967533976,112.2,4031.199951171875,11.565601989773434
2003-09-30,83.0424029472781,1.4,5.0,99.6128,524213.0,3.520436978905428,4.7132,121.99,28.09,4002.347,2.9162210650365505,12.797074181460722,112.5,4091.300048828125,1.4908736451730409
2003-12-31,85.1266108933137,1.3,4.9,100.0529,528320.0,3.6474354950090992,4.896,124.78,30.3,4365.116,9.063906752712846,17.835183597994273,113.5,4476.89990234375,9.424873485533602
2004-03-31,86.6278875074885,1.3,4.8,100.2505,529996.0,3.105843810976383,4.7088,129.0,32.29,4524.645,3.6546336912925304,24.875046159094193,115.0,4385.7001953125,-2.037117403127664
2004-06-30,90.1914160593165,1.3,4.8,100.1194,532543.0,2.6486019714650366,5.2,129.95,33.22,4558.025,0.737737435754604,17.204907150720096,113.8,4464.10009765625,1.7876256664225432
2004-09-30,92.874231405398,1.3,4.7,100.146,534447.0,1.9522598638339828,4.9109,126.66,47.76,4666.509,2.380065927677011,16.59431328667904,112.2,4570.7998046875,2.3901728164041236
2004-12-31,93.5234302892982,1.5,4.7,100.3592,536886.0,1.6213658388855245,4.5316,127.56,40.38,5127.539,9.879548073302757,17.46627122853093,113.2,4814.2998046875,5.327295230700835
2005-03-31,93.8597044337894,1.8,4.7,100.3134,541028.0,2.081525143585994,4.796,126.12,53.22,5057.025,-1.3752016318159699,11.76622696366232,110.7,4894.39990234375,1.6637953784735204
2005-06-30,95.2163872777378,1.9,4.8,100.0879,545530.0,2.438676313462018,4.2847,127.19,55.36,5017.909,-0.7734982524310263,10.089545362300555,113.3,5113.2001953125,4.470421243347422
2005-09-30,95.7518408920139,2.4,4.7,100.0611,550552.0,3.0133951542435478,4.2109,125.28,61.7,5062.349,0.8856278581377275,8.482572304049985,111.2,5477.7001953125,7.128608035612483
2005-12-31,96.2436262644239,2.2,5.1,100.395,556311.0,3.6180865211609126,4.2186,123.96,58.34,5062.698,0.006894032789928062,-1.2645637605096627,113.7,5618.7998046875,2.575891420559029
2006-03-31,97.6113286389701,2.1,5.2,100.8846,558314.0,3.195028723097515,4.3177,121.49,66.06,5180.681,2.3304372490715375,2.4452321275848954,113.4,5964.60009765625,6.154344432778425
2006-06-30,98.5696649578179,2.4,5.5,101.3342,559795.0,2.6148882737887957,4.6645,125.39,73.2,5616.613,8.414569435948692,11.931344310947068,113.2,5833.39990234375,-2.1996478081414805
2006-09-30,99.8288778954431,2.5,5.5,101.8758,560675.0,1.838700068295096,4.5522,128.07,59.09,5894.992,4.9563500280328965,16.447759725771572,113.6,5960.7998046875,2.1839734027588875
2006-12-31,102.578856989304,2.7,5.5,102.5544,562669.0,1.142885903748092,4.6195,130.29,58.96,6255.699,6.1188717474086385,23.564530216892244,112.8,6220.7998046875,4.361830769681929
2007-03-31,106.503770873783,2.8,5.5,103.1215,568845.0,1.8862145674297892,4.8194,128.17,68.47,6238.809,-0.26999380884533686,20.424496316217898,113.3,6308.0,1.4017521548723266
2007-06-30,107.172825017132,2.6,5.4,103.2722,574194.0,2.5721916058557115,5.4321,128.82,72.22,6475.015,3.7860751948008087,15.283267691756585,113.3,6607.89990234375,4.754278730877459
