,us_house_price_idx,us_consumer_confidence,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_bond_yield_1y,us_term_spread,us_reer,us_reer_log_ret,us_oil_price,us_oil_log_ret,us_credit,us_credit_qoq_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_vix_log_ret,us_delinquency_rate,us_cpi,us_unemployment,us_sp500_close,us_sp500_log_ret
1932-12-31,,,,,,,,,,,,,,,4.093,,,,,,,
1933-03-31,,,,,,,,,,,,,,,3.7968,,,,,,,
1933-06-30,,,,,,,,,,,,,,,5.4663,,,,,,,
1933-09-30,,,,,,,,,,,,,,,5.4124,,,,,,,
1933-12-31,,,,,,,,,,,,,,,4.8739,,,,,,,
1934-03-31,,,,,,,,,,,,,,,5.5201,,,,,,,
1934-06-30,,,,,,,,,,,,,,,5.5201,,,,,,,
1934-09-30,,,,,,,,,,,,,,,4.7931,,,,,,,
1934-12-31,,,,,,,,,,,,,,,5.3855,,,,,,,
1935-03-31,,,,,,,,,,,,,,,5.8971,,,,,,,
1935-06-30,,,,,,,,,,,,,,,5.8702,,,,,,,
1935-09-30,,,,,,,,,,,,,,,6.2472,,,,,,,
1935-12-31,,,,,,,,,,,,,,,6.6511,,,,,,,
1936-03-31,,,,,,,,,,,,,,,6.4626,,,,,,,
1936-06-30,,,,,,,,,,,,,,,7.1358,,,,,,,
1936-09-30,,,,,,,,,,,,,,,7.5128,,,,,,,
1936-12-31,,,,,,,,,,,,,,,8.0783,,,,,,,
1937-03-31,,,,,,,,,,,,,,,8.3475,,,,,,,
1937-06-30,,,,,,,,,,,,,,,8.2667,,,,,,,
1937-09-30,,,,,,,,,,,,,,,7.9975,,,,,,,
1937-12-31,,,,,,,,,,,,,,,6.0856,,,,,,,
1938-03-31,,,,,,,,,,,,,,,5.8971,,,,,,,
1938-06-30,,,,,,,,,,,,,,,5.7086,,,,,,,
1938-09-30,,,,,,,,,,,,,,,6.5434,,,,,,,
1938-12-31,,,,,,,,,,,,,,,7.055,,,,,,,
1939-03-31,,,,,,,,,,,,,,,7.1358,,,,,,,
1939-06-30,,,,,,,,,,,,,,,7.2435,,,,,,,
1939-09-30,,,,,,,,,,,,,,,8.0244,,,,,,,
1939-12-31,,,,,,,,,,,,,,,8.6437,,,,,,,
1940-03-31,,,,,,,,,,,,,,,8.0783,,,,,,,
1940-06-30,,,,,,,,,,,,,,,8.7514,,,,,,,
1940-09-30,,,,,,,,,,,,,,,9.1015,,,,,,,
1940-12-31,,,,,,,,,,,,,,,9.7747,,,,,,,
1941-03-31,,,,,,,,,,,,,,,10.6364,,,,,,,
1941-06-30,,,,,,,,,,,,,,,11.2288,,,,,,,
1941-09-30,,,,,,,,,,,,,,,11.4981,,,,,,,
1941-12-31,,,,,,,,,,,,,,,11.8481,,,,,,,
1942-03-31,,,,,,,,,,,,,,,12.4405,,,,,,,
1942-06-30,,,,,,,,,,,,,,,12.1443,,,,,,,
1942-09-30,,,,,,,,,,,,,,,13.1137,,,,,,,
1942-12-31,,,,,,,,,,,,,,,14.1908,,,,,,,
1943-03-31,,,,,,,,,,,,,,,14.8102,,,,,,,
1943-06-30,,,,,,,,,,,,,,,15.0256,,,,,,,
1943-09-30,,,,,,,,,,,,,,,16.2104,,,,,,,
1943-12-31,,,,,,,,,,,,,,,16.4527,,,,,,,
1944-03-31,,,,,,,,,,,,,,,16.7489,,,,,,,
1944-06-30,,,,,,,,,,,,,,,16.5874,,,,,,,
1944-09-30,,,,,,,,,,,,,,,16.6681,,,,,,,
1944-12-31,,,,,,,,,,,,,,,16.5335,,,,,,,
1945-03-31,,,,,,,,,,,,,,,16.2104,,,,,,,
1945-06-30,,,,,,,,,,,,,,,15.1333,,,,,,,
1945-09-30,,,,,,,,,,,,,,,12.0635,,,,,,,
1945-12-31,,,,,,,,,,,,85.382,,,12.0635,,,,,,,
1946-03-31,,,,,,,,,,,,88.98,4.214002951441764,,11.9558,,,,,,,
1946-06-30,,,,,,,,,,,,92.619,4.0896830748482715,,12.0097,,,,,,,
1946-09-30,,,,,,,,,,,,96.297,3.9711074401580726,,13.1137,,,,,,,
1946-12-31,,,,,,,,,,,,99.975,3.819433627215796,17.091424422009304,13.5176,,,,,,,
1947-03-31,,,2182.681,,,,,,,,,104.29,4.316079019754948,17.206113733423244,13.8407,,,,,,,
1947-06-30,,,2176.892,,,,,,,,,108.653,4.183526704382001,17.3117826795798,13.7869,,,,,,,
1947-09-30,,,2172.432,,,,,,,,,113.063,4.058792670243805,17.41071892166943,13.8946,,,,,,,
1947-12-31,,,2206.452,,,,,,,,,117.474,3.901364725860801,17.503375843961,14.2716,,,,,,,
1948-03-31,,,2239.682,2.6115130887197857,,,,,,,,121.432,3.369256175834656,16.436858759229068,14.2177,,,,6.818181818181812,4.0,,
1948-06-30,,,2276.69,4.584425869542463,,,,,,,,125.389,3.2586138744317816,15.403164201632702,14.6755,,,,9.375,3.6,,
1948-09-30,,,2289.77,5.401227748440474,,,,,,,,129.39,3.19087001252103,14.440621600346692,14.5139,,,,6.654991243432562,3.8,,
1948-12-31,,,2292.364,3.893671831519563,,,,,,,,133.391,3.0922018703145593,13.549381139656425,14.2985,,,,2.733874412644166,4.0,,
1949-03-31,,,2260.807,0.9432142598815307,,,,,,,,136.058,1.9993852658725109,12.04460109361618,13.76,,,,1.744680851063829,5.0,,
1949-06-30,,,2253.128,-1.0349235073725427,,,,,,,,138.754,1.9815078863425928,10.658829721905416,13.4638,,,,-0.9523809523809379,6.2,,
1949-09-30,,,2276.424,-0.5828532996763891,,,,,,,,141.48,1.9646280467590094,9.343844191977734,13.7061,,,,-2.504105090311981,6.6,,
1949-12-31,,,2257.352,-1.5273316105121282,,,,,,,,144.206,1.926774102346629,8.107743400979084,13.7869,,,,-1.8295218295218296,6.6,,
1950-03-31,,,2346.104,3.7728563296203443,,,,,,,,149.809,3.8854139217508354,10.10671919328523,14.5409,,,,-1.129234629861986,6.3,17.290000915527344,
1950-06-30,,,2417.682,7.3033578207718275,,,,,,,,155.474,3.7814817534326917,12.050103060091955,15.8334,,,,-0.16722408026756952,5.4,17.690000534057617,0.022871185715035432
1950-09-30,,,2511.127,10.31016190305496,,,,,,,,161.202,3.6842172967827436,13.939779474130631,16.7489,,,,2.4842105263158,4.4,19.450000762939453,0.0948475709286368
1950-12-31,,,2559.214,13.37239384907627,,,,,,,,166.929,3.5526854505527172,15.757319390316638,17.1259,,,,5.80262600592969,4.3,20.43000030517578,0.04915731447702729
1951-03-31,,,2593.967,10.564876919352262,,,,,,,,171.94,3.0018750486733747,14.772810712307006,17.3682,,,,9.475465313028764,3.4,21.479999542236328,0.050117824562345294
1951-06-30,,,2638.898,9.149921288242213,,,,,,,,177.007,2.9469582412469553,13.849904164040305,17.2605,,,,8.584589614740379,3.2,20.959999084472656,-0.024506432556405035
1951-09-30,,,2693.259,7.252998354921925,,,,,,,,182.13,2.8942358211822006,12.982469200133995,16.9374,,,,6.943303204601481,3.3,23.260000228881836,0.1041193411575653
1951-12-31,,,2699.156,5.468163272004611,,,,,,,,187.253,2.8128260034041563,12.175236178255421,17.1528,,,,5.964771817453962,3.1,23.770000457763672,0.02168914369947891
1952-03-31,,,2727.954,5.165331710079579,,,,,,,,189.293,1.0894351492366061,10.09247411887868,17.5029,,,,1.9706336939721902,2.9,24.3700008392334,0.024928601444121394
1952-06-30,,,2733.8,3.5962738991806464,,,,,,,,195.577,3.3197212786526764,10.491110521052827,17.0182,,,,2.313922097956045,3.0,24.959999084472656,0.023921604747178363
1952-09-30,,,2753.517,2.2373637292217197,,,,,,,,200.88,2.711464026956123,10.294844341953556,18.4723,,,,2.3050326546292688,3.1,24.540000915527344,-0.016970030231127406
1952-12-31,,,2843.941,5.364084180388229,,,,,,,,208.132,3.610115491835919,11.150155137701411,19.1455,,,,0.9066868152625585,2.7,26.56999969482422,0.07947827169567716
1953-03-31,,,2896.811,6.189877102033248,,,,,,,,211.975,1.8464243845252026,11.982482183704612,19.4686,,,,0.9094353921940135,2.6,25.290000915527344,-0.04937365140296112
1953-06-30,,,2919.206,6.781988440997866,3.11,,,,,,,218.127,2.9022290364429937,11.529985632257379,19.5763,,,,0.9046362608367886,2.5,24.139999389648438,-0.046538906497474455
1953-09-30,,,2902.785,5.420994313817573,2.87,,,,,,,222.132,1.8360863166870578,10.579450418160107,19.307,,,,0.9763424708974844,2.9,23.350000381469727,-0.03327318993361955
1953-12-31,,,2858.845,0.5240615047921171,2.59,,,,,,,225.767,1.6364143842400036,8.472988295889138,18.2299,,,,0.5990265818045737,4.5,24.809999465942383,0.06064977572586845
1954-03-31,,,2845.192,-1.7819250203068182,2.37,,,,,,,226.957,0.5270920905180887,7.067814600778388,18.0414,,,,1.1265490048817162,5.7,26.940000534057617,0.08236541462837481
1954-06-30,,,2848.305,-2.4287768660382403,2.38,,,,,,,231.822,2.1435778583608345,6.278452461180861,18.0953,,,,0.635039223010847,5.6,29.209999084472656,0.08089889425052418
1954-09-30,,,2880.482,-0.7683311027168682,2.38,,,,,,,237.222,2.3293733985557896,6.793258062773488,18.1222,,,,-0.2975083674228385,6.1,32.310001373291016,0.10086573728328996
1954-12-31,,,2936.852,2.728619424977574,2.51,,,,,,,244.211,2.9461854296819023,8.16948446850072,18.8762,,,,-0.37216226274656705,5.0,35.97999954223633,0.10758639345966452
1955-03-31,,102.1094,3020.746,6.170198707152275,2.68,,,,,,,248.948,1.9397160652059098,9.68950065430898,20.0071,,,,-0.519866320089124,4.6,36.58000183105469,0.01653847721922689
1955-06-30,,102.4753,3069.91,7.780241231188367,2.78,,,,,,,259.377,4.189228272570977,11.886274814297181,20.5996,,,,-0.8537490720118779,4.2,41.029998779296875,0.11480178368372866
1955-09-30,,102.4342,3111.379,8.015915391937867,2.97,,,,,,,267.356,3.076217243626078,12.702869042500264,20.8688,,,,0.14919806042521522,4.1,43.66999816894531,0.06235784886550262
1955-12-31,,102.0589,3130.068,6.579017260658704,2.96,,,,,,,277.617,3.8379538891964327,13.679154501639967,21.3535,,,,0.37355248412402897,4.2,45.47999954223633,0.04061133324905171
1956-03-31,,101.0831,3117.922,3.2169536928957188,2.96,,,,,,,282.304,1.6882971864114804,13.398782074971471,21.2997,,,,0.3732736095558131,4.2,48.47999954223633,0.06387867350156806
1956-06-30,,100.3109,3143.694,2.403458081833021,3.0,,,,,,,291.311,3.1905321922466534,12.311808680029435,21.0843,,,,1.647323099962561,4.3,46.970001220703125,-0.031642206290839976
1956-09-30,,100.4149,3140.874,0.9479719442729406,3.38,,,,,,,297.383,2.0843703121406376,11.231092625562923,21.7574,,,,1.862197392923659,3.9,45.349998474121094,-0.035098983113477415
1956-12-31,,100.6151,3192.57,1.9968256280694208,3.59,,,,,,,305.291,2.659197062374119,9.968409715543359,22.0806,,,,2.828433196873825,4.2,46.66999816894531,0.02869137781321807
1957-03-31,,100.073,3213.011,3.0497555743857596,3.41,,,,,,,309.274,1.3046568683649395,9.553530945363864,22.1883,,,,3.607288955001864,3.7,44.11000061035156,-0.056414992773757694
1957-06-30,,99.2765,3205.97,1.9809816095332389,3.8,,,,,,,318.147,2.868977023610131,9.212147841997043,21.8652,,,,3.53591160220994,4.3,47.369998931884766,0.07130256643343036
1957-09-30,,98.08414,3237.386,3.0727752848411116,3.92,,,,,,,323.451,1.6671538628370008,8.765800331558982,21.8113,,,,3.546617915904937,4.4,42.41999816894531,-0.11036918841566819
1957-12-31,,96.80237,3203.894,0.3546985657322921,3.21,,,,,,,329.585,1.8964232604010922,7.95765351746367,20.5726,,,,3.0401737242128135,5.2,39.9900016784668,-0.058990441140755134
1958-03-31,,96.84549,3120.724,-2.8722901975747894,2.98,,,,,,,330.838,0.3801750686469374,6.972458079243649,19.5225,,,,3.6252692031586653,6.7,42.099998474121094,0.05141823961329144
1958-06-30,,98.38609,3141.224,-2.019544786757199,2.97,,,,,,,336.654,1.75796008922795,5.817122273665953,19.8994,,,,2.8459622909996485,7.3,45.2400016784668,0.07193398390512647
1958-09-30,,100.3518,3213.884,-0.7259560645533125,3.76,,,,,,,342.246,1.661052594057999,5.810771956185001,20.7881,,,,2.083333333333326,7.1,50.060001373291016,0.1012406250872216
1958-12-31,,102.0516,3289.032,2.6573288629399228,3.86,,,,,,,352.516,3.0007655312260795,6.957537509292,21.6767,,,,1.7562346329469625,6.2,55.209999084472656,0.09792176627678836
1959-03-31,,103.132,3352.129,7.415106238167812,3.99,,,,,,,357.062,1.2895868556320744,7.926538063946698,22.7538,,,,0.3463803255975062,5.6,55.439998626708984,0.004157250397569175
1959-06-30,,102.8538,3427.667,9.118833932250613,4.34,,,,,,,369.456,3.4711058583663412,9.743534905273666,23.6155,,,,0.6918021445866396,5.0,58.470001220703125,0.053212492954119436
1959-09-30,,101.6909,3430.057,6.726222850606911,4.68,,,,,,,378.124,2.346152180503225,10.483102797403054,22.2421,,,,1.1760636457972984,5.5,56.880001068115234,-0.027570018791622936
1959-12-31,,100.9845,3439.832,4.584935628476705,4.69,,,,,,,389.209,2.9315780008674297,10.40888924190675,23.5885,,,,1.5188125647221273,5.3,59.88999938964844,0.05156573181177857
1960-03-31,,100.1096,3517.181,4.92379619042107,4.25,,,,,,,393.312,1.054189394387084,10.152298480375954,23.777,,,,1.5188125647221273,5.4,55.34000015258789,-0.0790135589691009
1960-06-30,,99.26097,3498.246,2.0590973393856515,4.15,,,,,,,404.512,2.847612073875183,9.488545320687702,23.2654,,,,1.7176228100309165,5.4,56.91999816894531,0.0281507639366751
1960-09-30,,98.59476,3515.385,2.487655452956039,3.8,,,,,,,410.756,1.5435883237085557,8.629973236292843,22.9153,,,,1.2307692307692353,5.5,53.52000045776367,-0.061591316679629464
1960-12-31,,98.26443,3470.278,0.8851013654155082,3.84,,,,,,,420.477,2.3666118084702426,8.033729949718516,22.1344,,,,1.3600816048962905,6.6,58.11000061035156,0.0822823522172909
1961-03-31,,98.96092,3493.703,-0.6675232238545603,3.74,,,,,,,423.016,0.6038380220559247,7.552274021641847,22.2691,,,,1.4620877252635056,6.9,65.05999755859375,0.11297210692935074
1961-06-30,,100.2508,3553.021,1.5657846818091237,3.88,,,,,,,433.052,2.3724870926868036,7.055414919705716,23.4,,,,0.7767646065518496,6.9,64.63999938964844,-0.006476478749227508
1961-09-30,,101.1059,3621.252,3.0115335873595495,3.98,,,,,,,439.847,1.569095628238637,7.082306770929714,23.8578,,,,1.249577845322536,6.7,66.7300033569336,0.03182127245120706
1961-12-31,,101.257,3692.289,6.397498989994466,4.06,,,,,,,452.605,2.9005540562968557,7.6408459915762394,24.908,,,,0.6709158000671067,6.0,71.55000305175781,0.06974187143283285
1962-03-31,,100.6418,3758.147,7.569160858836588,3.93,2.97,0.96,,,,,456.421,0.8431192761900519,7.89686442120392,25.2311,,,,1.1058981233244003,5.6,69.55000305175781,-0.02835058640649182
1962-06-30,,99.69308,3792.149,6.730272632782075,3.91,3.2,0.71,,,,,469.346,2.831815363447343,8.380979651404452,25.2042,,,,1.2399463806970434,5.5,54.75,-0.2392685935514577
1962-09-30,,99.3917,3838.776,6.0068727611334305,3.98,3.02,0.96,,,,,478.75,2.0036391063309456,8.844666440830572,25.635,,,,1.4676450967311627,5.6,56.27000045776367,0.027384172883705624
1962-12-31,,99.78554,3851.421,4.3098468185995165,3.86,3.05,0.81,,,,,492.52,2.87624020887729,8.818948089393608,25.7696,,,,1.2329223592135952,5.5,63.099998474121094,0.1145592037849352
1963-03-31,,100.2181,3893.482,3.601109802250946,3.93,3.09,0.8400000000000003,,,,,498.502,1.2145699667018617,9.219777354679138,26.4159,,,,1.1269472986410234,5.7,66.56999969482422,0.05353327566307715
1963-06-30,,100.3097,3937.183,3.824586006509767,3.99,3.19,0.8000000000000003,,,,,513.521,3.0128264279782213,9.412032913884417,27.0622,,,,1.3240648791790655,5.6,69.37000274658203,0.04120051596210602
1963-09-30,,100.1839,4023.755,4.818697418135365,4.08,3.59,0.4900000000000002,,,,,524.011,2.0427596923981772,9.453994778067877,27.2776,,,,0.9861932938855844,5.5,71.69999694824219,0.033036168052268895
1963-12-31,,100.2128,4050.147,5.159809846807195,4.13,3.83,0.2999999999999998,,,,,540.367,3.1213085221493353,9.714732396653947,27.5469,,,,1.6458196181698526,5.5,75.0199966430664,0.045263994863854934
1964-03-31,,100.4657,4135.553,6.217339646105979,4.22,3.94,0.2799999999999998,,,,,547.51,1.3218793893779557,9.831053837296544,27.9777,,,,1.4093739757456536,5.4,78.9800033569336,0.051439998455534985
1964-06-30,,100.7228,4180.592,6.182313598326505,4.17,3.78,0.3900000000000001,,,,,563.882,2.9902650179905343,9.806999129538996,28.6778,,,,1.3067624959163693,5.2,81.69000244140625,0.033736926877915796
1964-09-30,,100.872,4245.918,5.521285465939152,4.2,3.84,0.3600000000000003,,,,,574.871,1.9488119854863317,9.705903120354353,29.1625,,,,1.171875,5.1,84.18000030517578,0.030025741727692106
1964-12-31,,101.0748,4259.046,5.157812790498717,4.18,3.99,0.1899999999999995,,,,,591.322,2.861685491179755,9.42970240595744,29.9973,,,,1.1981865284974136,5.0,84.75,0.006748379292858431
1965-03-31,,101.1957,4362.111,5.478300000024183,4.21,4.03,0.17999999999999972,,,,,601.145,1.6611930555602505,9.7961681065186,30.9128,,,,1.1958629605688387,4.7,86.16000366210938,0.016500329091163266
1965-06-30,,101.0116,4417.225,5.660274908434038,4.21,3.96,0.25,,,,,619.309,3.021567175972506,9.829538804217908,31.5321,,,,1.9348597226700903,4.6,84.12000274658203,-0.023961691866463197
1965-09-30,,101.1355,4515.427,6.347484807761239,4.29,4.36,-0.07000000000000028,,,,,631.51,1.9700989328429008,9.852471250071758,32.0438,,,,1.737451737451745,4.3,89.95999908447266,0.0671207334288061
1965-12-31,,101.6879,4619.458,8.46227065873435,4.62,4.96,-0.33999999999999986,,,,,649.65,2.8724802457601673,9.86399964824578,32.9054,,,,1.9200000000000106,4.0,92.43000030517578,0.027086487664316674
1966-03-31,,101.7553,4731.888,8.477019498128314,4.87,4.9,-0.03000000000000025,,,,,661.449,1.8162087277765027,10.03152317660465,33.9018,,,,2.7786649632705274,3.8,89.2300033569336,-0.03523426104519121
1966-06-30,,100.8523,4748.046,7.489340026826796,4.81,5.05,-0.2400000000000002,,,,,682.868,3.238193723174443,10.262889769081362,34.4403,,,,2.4359379943056148,3.8,84.73999786376953,-0.05162962354401211
1966-09-30,,99.78816,4788.254,6.042108531485502,5.18,5.62,-0.4400000000000004,,,,,692.403,1.3963167112824193,9.642444300169451,34.9789,,,,3.5736875395319334,3.7,76.55999755859375,-0.10151300473327714
1966-12-31,,98.89452,4827.537,4.504402897482795,4.84,5.0,-0.16000000000000014,,,,,706.595,2.0496733838530456,8.76548910952053,35.0596,,,,3.3594976452119285,3.8,80.33000183105469,0.04806845772397669
1967-03-31,,98.61965,4870.299,2.925069232407873,4.54,4.13,0.41000000000000014,,,,,713.77,1.015433168929869,7.9100580694807965,34.6292,,,,2.5481665630826544,3.8,90.19999694824219,0.11588622025546369
1967-06-30,,99.31717,4873.287,2.637737713577337,5.02,4.97,0.04999999999999982,,,,,731.651,2.5051487173739506,7.143840390822231,34.6465,,,,2.8412600370598895,3.9,90.63999938964844,0.004866216750609338
1967-09-30,,100.2449,4919.392,2.7387436004856935,5.3,5.27,0.03000000000000025,,,,,743.298,1.591879188301526,7.350488082807272,35.1727,,,,2.595419847328251,3.8,96.70999908447266,0.06482119027619136
1967-12-31,,100.722,4956.477,2.6709272243796267,5.7,5.76,-0.05999999999999961,,,,,773.178,4.019922023199318,9.423078283882557,36.3536,,,,3.280680437424044,3.8,96.47000122070312,-0.0024847084259737233
1968-03-31,,100.7533,5057.553,3.8448152772550426,5.74,5.59,0.15000000000000036,,,,,773.843,0.08600865518677558,8.416296566120728,36.5584,,,,3.9393939393939315,3.7,90.19999694824219,-0.06720269860082696
1968-06-30,,100.7722,5142.033,5.514676233925897,5.72,5.91,-0.1900000000000004,,,,,798.123,3.1375873400677046,9.085205924682693,37.158,,,,4.2042042042042205,3.7,99.58000183105469,0.09893196636646985
1968-09-30,,101.1018,5181.859,5.335354450306062,5.46,5.44,0.019999999999999574,,,,,813.391,1.9129883489136246,9.429999811650225,37.3454,,,,4.464285714285721,3.4,102.66999816894531,0.030558583874691878
1968-12-31,,101.3787,5202.212,4.9578561546840705,6.03,6.46,-0.4299999999999997,,,,,840.074,3.2804641310267835,8.652082702818742,38.0233,,,,4.705882352941182,3.4,103.86000061035156,0.01152390081634469
1969-03-31,,101.0298,5283.597,4.469434131486105,6.3,6.27,0.03000000000000025,,,,,848.987,1.0609779614652926,9.710496832044747,38.8,,,,5.247813411078739,3.4,101.51000213623047,-0.022886507451977105
1969-06-30,,100.2377,5299.625,3.064780019887059,6.57,7.58,-1.0099999999999998,,,,,875.953,3.176255937959005,9.751629761327507,38.8874,,,,5.475504322766556,3.5,97.70999908447266,-0.03815343825446284
1969-09-30,,99.58659,5334.6,2.947610114439625,7.16,8.01,-0.8499999999999996,,,,,891.625,1.7891370884054236,9.618252476361322,39.1737,,,,5.698005698005693,3.7,93.12000274658203,-0.048114885108199744
1969-12-31,,98.85007,5308.556,2.0442073487201062,7.65,8.32,-0.6699999999999999,,,,,915.449,2.6719753259498047,8.972423857898226,38.7116,,,,5.89887640449438,3.5,92.05999755859375,-0.011448501608843193
1970-03-31,55.7473319735971,97.94125,5300.652,0.3227914619529093,7.07,6.9,0.16999999999999993,,,,,920.172,0.5159216952555612,8.384698470059027,37.9205,,,,6.094182825484751,4.4,89.62999725341797,-0.026750457143653435
1970-06-30,55.5463162444915,97.54119,5308.164,0.1611246078731865,7.84,7.4,0.4399999999999995,,,,,943.967,2.585929587077196,7.764571843466483,37.6567,,,,6.010928961748618,4.9,72.72000122070312,-0.2090735880701428
1970-09-30,56.0448949291585,97.69106,5357.077,0.42134368087578533,7.39,6.58,0.8099999999999996,,,,,960.905,1.7943423869690278,7.770082714145521,37.4221,,,,5.660377358490565,5.4,84.30000305175781,0.1477654345533995
1970-12-31,56.2989585314487,98.67099,5299.672,-0.16735247777361906,6.39,4.94,1.4499999999999993,,,,,981.085,2.100103548217569,7.169815030657101,37.2885,,,,5.570291777188308,6.1,92.1500015258789,0.08903579946550517
1971-03-31,56.8460170635473,99.93185,5443.619,2.697158764619889,5.7,3.92,1.7800000000000002,,,,,994.486,1.3659366925393712,8.076098816308242,37.4631,,,,4.438642297650142,6.0,100.30999755859375,0.08484766588230612
1971-06-30,57.7498345998532,100.2935,5473.059,3.1064413232145816,6.52,6.24,0.27999999999999936,,,,,1025.346,3.1031105515814117,8.620958147901359,38.0234,,,,4.381443298969079,5.9,98.69999694824219,-0.016180451036877357
1971-09-30,57.9527932184827,100.4097,5518.072,3.005276944871249,6.14,5.27,0.8700000000000001,,,,,1049.77,2.382025189545778,9.248052617064118,38.3056,,,,4.081632653061207,6.0,98.33999633789062,-0.003654090775376355
1971-12-31,59.2866231490447,101.2538,5531.032,4.365553188952087,5.93,4.46,1.4699999999999998,,,,,1077.712,2.6617259018642203,9.848993716140807,39.2035,,,,3.266331658291466,6.0,102.08999633789062,0.037423916565014495
1972-03-31,58.4104579757008,102.2781,5632.649,3.4725060662768703,6.07,5.11,0.96,,,,,1099.111,1.985595409534291,10.520510092650891,40.8263,,,,3.499999999999992,5.8,107.19999694824219,0.048841478859269566
1972-06-30,59.6903773837502,102.7756,5760.47,5.251377703035898,6.11,5.15,0.96,,,,,1139.652,3.6885264545619023,11.148041734204849,41.3497,,,,2.9629629629629672,5.7,107.13999938964844,-0.0005598354127634374
1972-09-30,60.5455868705106,103.3514,5814.854,5.378364037294192,6.55,5.61,0.9399999999999995,,,,,1168.057,2.492427512960105,11.26789677738933,42.2132,,,,3.1862745098039325,5.5,110.55000305175781,0.0313315501526338
