,us_credit_qoq_growth_L2,us_house_price_yoy_L6,us_indprod_yoy_L5,us_unemployment_L1,us_gdp_yoy_growth_L4,us_consumer_confidence_L5,us_cpi_L0,us_log_vix_L5,us_sp500_qoq_growth_L7,us_bond_yield_10y_d1_L6,us_oil_yoy_L2,us_reer_diff_L1,delinquency_rate
1996-06-30,1.6978221362901946,0.6964122697866504,5.7165348260771465,5.533333,2.4023751008017014,101.49733666666667,2.847131,2.5930133911138515,4.150629774103143,0.34999999999999964,9.960607765897578,0.46999999999999886,2.47
1996-09-30,1.4105218012558265,0.2671302340006898,4.587732144288292,5.5,2.6733258155179795,98.62817,2.943742,2.431857428698185,-0.7434467603754435,-0.6099999999999994,11.730969760166833,0.2600000000000051,2.43
1996-12-31,1.913383954250336,0.05211763770287536,4.7816808149161005,5.266667,2.1997916299495213,100.2421,3.190104,2.5447466501440172,9.02301553175786,-1.0300000000000002,20.368239355581142,-0.2600000000000051,2.4
1997-03-31,1.5526541111958505,0.6614757465612575,2.6396897921781903,5.333333,2.601309846659228,96.61974,2.946237,2.5273273656719524,8.79551223192896,0.03000000000000025,37.970353477765116,0.6500000000000057,2.37
1997-06-30,1.4120346461330202,0.7863639605449224,3.188414739319012,5.233333,4.002379484223728,97.37289666666668,2.342419,2.9381031607173544,7.2803989251089885,-0.4900000000000002,32.54861821903787,3.0900000000000034,2.31
1997-09-30,1.3398295255744097,0.9892204239073221,5.110978907668273,5.0,4.0501348871777365,98.44885,2.202923,2.615934912194404,5.393477349753373,0.5599999999999996,-5.039664022398494,-1.4000000000000057,2.25
1997-12-31,1.9686572526133483,0.9280349080089678,4.952801645891314,4.866667,4.421452442981133,102.10706666666668,1.871714,2.830267833826459,4.800871474980117,0.6400000000000006,-5.258126195028689,2.6300000000000097,2.26
1998-03-31,2.262811174501489,0.6386966561882534,6.165643121709419,4.666667,4.314068944306992,104.94036666666666,1.462294,3.040705639196722,3.893106875726171,-0.08000000000000007,-12.685950413223146,4.959999999999994,2.25
1998-06-30,1.9634435945046655,0.39814111313001277,7.470272474009643,4.633333,4.31127171595187,106.5543,1.602164,3.0973859272804907,2.490197588154364,-0.5300000000000002,-31.853281853281857,0.4899999999999949,2.2
1998-09-30,2.109291726739282,0.26415304279685525,6.012329789391524,4.4,4.674702492340366,110.85806666666667,1.595855,3.0694473113762717,7.770644641808189,0.39000000000000057,-22.604422604422613,2.6700000000000017,2.19
1998-12-31,2.993966131160164,0.8638472281043308,7.7307713474798145,4.533333,4.483552816031211,113.8707,1.548307,3.1315734964654043,2.2113028996355144,-0.20000000000000018,-27.850655903128153,0.45000000000000284,2.2
1999-03-31,2.186961358822259,1.1217829879032415,8.280957988374027,4.433333,4.855526883310857,112.93826666666666,1.667696,3.178470410233162,16.908815030229785,-0.28000000000000025,-23.37908187411263,-4.209999999999994,2.19
1999-06-30,2.5317706324189397,1.9791218342135153,6.835942439493192,4.3,4.09279008633523,116.0226,2.109359,3.1871787381249463,7.020359900136075,-0.40000000000000036,-31.218130311614722,2.280000000000001,2.17
1999-09-30,2.295764133922318,3.065969742308261,6.058575229559682,4.266667,4.103452727565782,115.05426666666666,2.345981,2.9811261211646287,2.443835261267924,-0.15999999999999925,5.777777777777771,0.0,2.21
1999-12-31,2.24357475471777,3.707138540611199,4.848836473856544,4.233333,4.883126568525764,111.36016666666667,2.622484,3.7123518102990785,13.53214640060001,-0.15000000000000036,35.17482517482515,-1.440000000000012,2.05
2000-03-31,2.8632833328713136,4.258072706983773,3.7695732652959,4.066667,4.816336792733988,107.80953333333332,3.240178,3.1954024686825586,2.912635881126624,-0.6900000000000004,51.57504632489189,-0.28999999999999204,2.08
2000-06-30,2.2547384326822684,4.897511010167088,4.425125461604007,4.033333,4.721885912228041,113.94243333333333,3.329322,3.1467351470905185,-10.303919386909522,-0.15999999999999925,112.19110378912687,1.8100000000000023,2.14
2000-09-30,2.2009902429098727,4.901372052524633,4.826418688874012,3.933333,4.791118246732284,114.3011,3.508073,3.0487989944906833,20.86704837369615,0.5800000000000001,61.224489795918366,2.019999999999996,2.2
2000-12-31,2.4969620371059875,4.602916344780605,3.7444563415508503,4.0,4.823574270732967,113.94243333333333,3.4271,3.2351427973320726,4.648439718875719,0.6699999999999999,67.8220382824625,1.7800000000000011,2.34
2001-03-31,1.989878379836329,4.600579830914775,5.216917187508963,3.9,4.224744861233032,113.26103333333333,3.393488,3.204371138665319,6.711907627513258,0.019999999999999574,25.79462102689487,0.9599999999999937,2.42
2001-06-30,1.6840365509428246,4.088032719740364,4.447293166354416,4.233333,5.2444568111355006,118.49726666666668,3.377329,3.1826266921930797,-6.556374074719617,0.3600000000000003,3.7267080745341463,3.010000000000005,2.55
2001-09-30,0.8250764445259406,3.775562754977546,4.574285752844154,4.4,3.973172352551901,117.0268,2.695937,2.972463646614637,14.54265147564322,-0.020000000000000462,-1.8242740134028268,1.4200000000000017,2.72
2001-12-31,2.4104679881393087,4.069254539624323,3.968806853188922,4.833333,2.9055943095086967,115.6281,1.857882,3.0238337036648657,1.9962536024970223,-0.16000000000000014,-18.711467324290986,-1.1200000000000045,2.74
2002-03-31,2.137511198014041,3.989178020676576,0.7397718173229428,5.5,2.1975051856706784,111.82639999999999,1.252134,3.2902658209548736,-2.934777039493852,-0.2999999999999998,-24.068675089083246,0.37000000000000455,2.75
2002-06-30,1.238904237041938,4.291771976814318,-1.122295725249156,5.7,0.9962983270431104,99.27374666666667,1.295531,3.3548043420924447,-1.2436385345754974,-0.5599999999999996,-25.299401197604787,1.5300000000000011,2.75
2002-09-30,1.1613658599175514,4.447283025772153,-3.3422163718917375,5.833333,0.4892362925611015,97.91088,1.59385,2.947591898226056,-8.091136134005328,-0.35000000000000053,-0.6067500948046978,-2.990000000000009,2.69
2002-12-31,1.5112821472228255,4.384977127062362,-4.55015745457048,5.733333,0.1673182937314887,95.29274333333335,2.200075,3.4635460067266908,-12.114859703465342,0.39000000000000057,1.5927189988623303,0.3200000000000074,2.57
2003-03-31,1.6146226339887049,4.963757878168473,-4.774776238202749,5.866667,1.3372586567694578,91.59867666666666,2.866779,3.169685580677429,5.51998580178914,-0.5499999999999998,30.50341296928327,-1.5300000000000011,2.54
2003-06-30,1.9234844604888668,5.344849487525138,-2.1374903694403535,5.866667,1.3253787532159889,100.20623333333333,2.131603,2.856470206220483,-14.982281868783042,0.35999999999999943,56.3627254509018,-1.1700000000000017,2.42
2003-09-30,1.2097131946160244,5.693038587326593,0.920910919642548,6.133333,2.1465169830615416,101.2463,2.196383,3.2347491740244907,10.292622118399786,0.1900000000000004,18.809614650896613,-4.670000000000002,2.22
2003-12-31,2.6361795130365406,5.646686670948031,2.146064440525741,6.133333,1.9925248221954737,93.89402,1.895124,3.681099266794974,-0.0600952401103582,-0.35000000000000053,12.541993281075037,1.3200000000000074,2.15
2004-03-31,1.7859709323257755,5.560646372900968,2.880394484854265,5.833333,1.6792570124718242,90.19994666666666,1.785064,3.3541057741283047,-13.732907321186548,-1.0599999999999996,-4.576659038901598,-4.650000000000006,1.96
2004-06-30,1.657980411310089,5.5554462987140285,2.1709435832793167,5.7,1.9550651524723903,86.03962999999999,2.867514,3.3724549127965013,-17.633506772527042,0.16000000000000014,4.165331624479318,0.5600000000000023,1.86
2004-09-30,1.8762374935330064,5.0833486141230955,-0.05887145406980876,5.6,3.231135387512896,96.04590666666667,2.727108,2.9714395809849465,7.916295715351351,-0.2200000000000002,14.80411046885035,1.9099999999999966,1.74
2004-12-31,2.3401079536919056,5.5074484053203365,0.9407289987876988,5.433333,4.300440651057458,96.08177,3.322499,3.1232455938529506,-3.5961917647978625,-0.48,22.454394693200676,-1.3900000000000006,1.64
2005-03-31,2.121333350901877,5.428413143710875,1.9841883950955763,5.433333,4.341952085996703,98.95094999999999,3.042233,2.907447358686419,14.893066143391676,0.9399999999999995,69.78417266187051,-5.299999999999997,1.6
2005-06-30,2.795985977903004,5.649655927170771,1.626375894029275,5.3,4.227491217016888,105.4425,2.946366,2.817801065061329,2.203178112172899,0.0,33.3743463549677,0.7900000000000063,1.57
2005-09-30,1.767424883000368,6.131902833288949,2.447031362551799,5.1,3.494860356231766,100.42140666666667,3.83263,2.663052835171474,11.641924621515477,-0.4399999999999995,54.71328671328672,2.6099999999999994,1.56
2005-12-31,2.637287971558244,6.483318381771519,2.448803847620762,4.966667,3.3511049439547858,102.86023333333333,3.739951,2.590767040487478,1.2851568842561667,0.9000000000000004,53.385698808234025,0.20999999999999375,1.54
2006-03-31,2.435291624641822,7.288123661712342,3.551152067738861,4.966667,3.9088432572524257,100.99523666666668,3.6471,2.587011872725154,1.2990477255798716,-0.6000000000000005,33.59564164648909,-0.12000000000000455,1.51
2006-06-30,2.4172410978660075,7.128035747884054,4.168552298887196,4.733333,3.6177355801611855,101.21043000000002,4.010283,2.640484881606444,-2.301813624380078,0.10000000000000053,40.821033210332104,-0.1599999999999966,1.51
2006-09-30,2.6795591420700315,7.603488908930878,4.6347083589064475,4.633333,3.448598847170792,97.05011999999999,3.335591,2.488234439880675,8.733342759471707,0.2699999999999996,19.779425058759713,-0.4899999999999949,1.58
2006-12-31,2.7943177733637192,7.7743122521018115,1.6574450087309733,4.633333,2.9727366937913,94.14508333333333,1.937332,2.4782176616372036,-2.585160488228855,-0.5,30.56683736535404,-1.1000000000000085,1.69
2007-03-31,2.1842401223343133,7.209614270395459,2.6259073757150198,4.433333,3.2131067957182013,88.69362000000001,2.424095,2.4907230351094403,0.9097138333640232,0.20000000000000018,-4.999244827065397,-2.3999999999999915,1.74
2007-06-30,2.3079387090076957,6.918475811998492,2.091541760329152,4.5,2.9729038556202125,95.68726333333332,2.650684,2.432735777459091,3.146072366314434,0.2699999999999996,-0.3439240091713036,1.0799999999999983,1.87
2007-09-30,1.7771756360164035,5.913105018043985,1.9803386251444621,4.5,2.325277937424497,90.16408333333334,2.360478,2.5710843460290524,1.5852718923087927,0.25,-0.46792452830188846,-1.4200000000000017,2.14
2007-12-31,2.7220092519461225,3.642812352843716,4.2159275134967755,4.666667,2.63456037634382,90.41513666666667,3.974384,2.4832385926873033,3.731501061217335,0.39000000000000057,-4.692994319718691,-2.6899999999999977,2.47
2008-03-31,2.2888762717305555,1.493866693450796,2.1707334984272686,4.8,1.5767249700146868,99.48891666666667,4.095428,2.4475508632442313,-1.9052139626634768,-0.39000000000000057,29.793322734499217,-2.769999999999996,2.86
2008-06-30,1.9912740674431275,0.8116846367862918,2.5308035115800154,5.0,1.9343747200181167,99.20199666666667,4.379385,2.6837575085331657,5.168479525880509,-0.16000000000000014,57.68282662284305,-2.940000000000012,3.32
2008-09-30,1.3271554551585796,-0.4274204446943264,2.7140344521729087,5.333333,2.368036077306624,93.49951,5.302814,2.7868613815264998,6.172105756563173,0.0,53.988474370639985,0.9200000000000017,3.72
2008-12-31,0.6616930704525625,-1.3521386441368466,2.7901202497425004,6.0,2.133364682457861,92.24423666666667,1.601687,2.8903717578961645,0.1804932972788497,0.54,98.60933730665533,2.9200000000000017,4.75
2009-03-31,1.0379071961345687,-2.622155983829899,2.2029778334589523,6.866667,1.3924712055185309,83.38564000000001,-0.04023253,3.1135153092103742,5.805638210999686,-0.5800000000000001,23.34639882410583,4.230000000000004,5.64
2009-06-30,-0.9378613968401894,-5.965199542996757,0.5734255066876637,8.266666,1.3760107660276244,78.43629333333332,-1.150445,3.242982900211434,1.556525412849541,-0.41999999999999993,-53.517457008858784,3.8999999999999915,6.37
2009-09-30,-0.6879272693574578,-8.585635803396919,-1.724935725071297,9.3,0.2659672721286865,64.12624,-1.62336,3.175968323856924,-3.824464689598006,-0.5899999999999999,-51.11286192633445,-5.109999999999999,6.94
2009-12-31,-0.4644540073972858,-11.020867696562275,-8.130031129578574,9.633333,-2.5411536884212604,69.75701666666667,1.443934,3.6735119769828146,-9.919913075322118,0.5899999999999999,-50.11431837667906,-2.3699999999999903,7.3
