,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_bond_yield_1y,us_term_spread,us_reer,us_reer_log_ret,us_oil_price,us_oil_log_ret,us_credit,us_credit_mom_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_vix_log_ret,us_sp500_close,us_sp500_log_ret,us_house_price_idx,us_cpi,us_unemployment,us_consumer_confidence,us_delinquency_rate
1964-03-31,4135.553,6.217339646105979,4.22,3.94,0.2799999999999998,,,,,547.51,0.5027367095752799,9.831053837296544,27.9777,,,78.9800033569336,0.015053227952069235,,1.533406,5.466667,100.4655,
1964-04-30,4153.234661039359,6.352268434728758,4.23,3.84,0.39000000000000057,,,,,552.3101610406152,0.8767257293227804,9.828180563340227,28.4355,,,79.45999908447266,0.006059040502495344,,1.479219939987412,5.385678803642458,100.5594,
1964-05-31,4165.762631952731,6.322146260625772,4.2,3.84,0.3600000000000003,,,,,558.4316420332201,1.1083411866027237,9.816898169545517,28.597,,,80.37000274658203,0.011387267534257622,,1.3921581692797818,5.291423415286171,100.6453,
1964-06-30,4180.592,6.182313598326505,4.17,3.78,0.3900000000000001,,,,,563.882,0.9760116649077055,9.806999129538996,28.6778,,,81.69000244140625,0.016290618841162754,,1.310044,5.2,100.7225,
1964-07-31,4204.208506932009,5.975801471901354,4.19,3.69,0.5000000000000004,,,,,567.8780404078793,0.7086660698301106,9.800444939843644,28.8663,,,83.18000030517578,0.01807531274361683,,1.253048765114423,5.1149507069334,100.7868,
1964-08-31,4229.401810341773,5.742993528840179,4.19,3.81,0.38000000000000034,,,,,571.1181811965762,0.5705698333342113,9.775022301956682,29.0548,,,81.83000183105469,-0.016362991068010427,,1.218694292036541,5.045984328463801,100.8294,
1964-09-30,4245.918,5.521285465939152,4.2,3.84,0.3600000000000003,,,,,574.871,0.6571002162041317,9.705903120354353,29.1625,,,84.18000030517578,0.028313420052085977,,1.194354,5.0,100.8719,
1964-10-31,4249.244898128191,5.323744906173289,4.19,3.86,0.3300000000000005,,,,,580.2907178866078,0.9427711411095441,9.580563042366009,28.7586,,,84.86000061035156,0.00804547999893074,,1.166701626370014,4.976682459756207,100.9199,
1964-11-30,4248.941381211477,5.193831129048387,4.15,4.1,0.05000000000000071,,,,,586.1138772629049,1.0034900088536247,9.466163339434619,29.6472,,,84.41999816894531,-0.005198528302100361,,1.1314203603208095,4.969453990469025,100.9903,
1964-12-31,4259.046,5.157812790498717,4.18,3.99,0.1899999999999995,,,,,591.322,0.8885854676256022,9.42970240595744,29.9973,,,84.75,0.0039014275960280913,,1.081081,4.966667,101.0745,
1965-01-31,4289.159689103524,5.238650272909595,4.19,3.96,0.23000000000000043,,,,,594.7952618251846,0.5873723327027625,9.52263139760532,30.3204,,,87.55999755859375,0.03261849851143607,,1.0225768172266512,4.958107665043338,101.1491,
1965-02-28,4325.456297694196,5.338218100408665,4.21,4.09,0.1200000000000001,,,,,597.3761401440521,0.43391036958631,9.656329435955513,30.5089,,,87.43000030517578,-0.0014857680886804095,,1.0042556211526255,4.939248846971957,101.1934,
1965-03-31,4362.111,5.478300000024183,4.21,4.03,0.17999999999999972,,,,,601.145,0.6309023080565357,9.7961681065186,30.9128,,,86.16000366210938,-0.014632401331592255,,1.078749,4.9,101.1951,
1965-04-30,4384.40963392354,5.5661428200237895,4.2,4.04,0.16000000000000014,,,,,606.7179854486685,0.9270617652427537,9.850954815957547,31.0474,,,89.11000061035156,0.03366549312232266,,1.2758042168216461,4.839608005688691,101.1503,
1965-05-31,4399.850648643536,5.619331617583678,4.21,4.04,0.16999999999999993,,,,,613.4245145327199,1.1053783215428936,9.847735758538612,31.2898,,,88.41999816894531,-0.007773400784551766,,1.5304300384187142,4.758096667956478,101.0779,
1965-06-30,4417.225,5.660274908434038,4.21,3.96,0.25,,,,,619.309,0.9592843663515316,9.829538804217908,31.5321,,,84.12000274658203,-0.049853784204234086,,1.724138,4.666667,101.0107,
1965-07-31,4445.202322634152,5.732204178379496,4.2,4.02,0.1800000000000006,,,,,623.6921120898138,0.7077423531409721,9.828531429362176,31.8283,,,85.25,0.01334373267836654,,1.792842217016993,4.565280990840639,100.9867,
1965-08-31,4480.238513512839,5.930784409221124,4.25,4.13,0.1200000000000001,,,,,627.3209925888028,0.5818384469910454,9.840837368278766,31.963,,,87.16999816894531,0.022272097854298022,,1.767186249516576,4.4624327059733275,101.0255,
1965-09-30,4515.427,6.347484807761239,4.29,4.36,-0.07000000000000028,,,,,631.51,0.6677613949933603,9.852471250071758,32.0438,,,89.95999908447266,0.031504902896141544,,1.716738,4.366667,101.134,
1965-10-31,4549.166786842547,7.058239661509558,4.35,4.33,0.019999999999999574,,,,,637.4793580620021,0.945251549777848,9.855170591677354,32.3669,,,92.41999816894531,0.02697826871573363,,1.6952481012549612,4.275066174816949,101.3002,
1965-11-30,4581.736871254326,7.832433074140477,4.45,4.4,0.04999999999999982,,,,,643.8782052764155,1.0037732412021105,9.85547864576497,32.5015,,,91.61000061035156,-0.00880294294018271,,1.7243025439264252,4.189918301169989,101.4971,
1965-12-31,4619.458,8.46227065873435,4.62,4.96,-0.33999999999999986,,,,,649.65,0.8964109479535187,9.86399964824578,32.9054,,,92.43000030517578,0.008911161888765907,,1.818182,4.1,101.6855,
1966-01-31,4663.088283053626,8.717991892445864,4.61,4.89,-0.27999999999999936,,,,,653.6282669858297,0.6123708128730421,9.89130360253887,33.2286,,,92.87999725341797,0.0048567032399564666,,1.980224991854024,4.006210129631615,101.8184,
1966-02-28,4701.040021897356,8.683100656996023,4.83,5.01,-0.17999999999999972,,,,,656.7591686173828,0.4790034014274136,9.940642835016966,33.444,,,91.22000122070312,-0.018034123152816658,,2.157361291057094,3.928838336875019,101.8491,
1966-03-31,4731.888,8.477019498128314,4.87,4.9,-0.03000000000000025,,,,,661.449,0.7140869296869079,10.03152317660465,33.9018,,,89.2300033569336,-0.02205684113233112,,2.347919,3.866667,101.7521,
1966-04-30,4744.336219154646,8.209237167217264,4.75,4.91,-0.16000000000000014,,,,,668.3077867893397,1.036933579057453,10.151306342950338,33.9556,,,91.05999755859375,0.020301259562481865,,2.4976476639908345,3.8398715334735254,101.53,
1966-05-31,4746.351766355932,7.875292717474891,4.78,5.04,-0.2599999999999998,,,,,676.3109794575113,1.1975309619868701,10.251703907317044,34.2787,,,86.12999725341797,-0.055660852183387725,,2.628522696058138,3.8344258108276126,101.2083,
1966-06-30,4748.046,7.489340026826796,4.81,5.05,-0.2400000000000002,,,,,682.868,0.9695274425011391,10.262889769081362,34.4403,,,84.73999786376953,-0.016270030923106266,,2.754237,3.833333,100.8486,
1966-07-31,4757.590149619324,7.027527754913443,5.02,5.24,-0.22000000000000064,,,,,686.9416288441843,0.5965470404506013,10.141144248632461,34.6288,,,83.5999984741211,-0.013544218150663324,,2.9027685864443353,3.821838523147134,100.4808,
1966-08-31,4772.769320539466,6.52935789343192,5.22,5.84,-0.6200000000000001,,,,,689.5181078492948,0.37506520160170975,9.9147192578108,34.6557,,,77.0999984741211,-0.08094024106013878,,3.076151768171682,3.798540480083011,100.1245,
1966-09-30,4788.254,6.042108531485502,5.18,5.62,-0.4400000000000004,,,,,692.403,0.4183925146945988,9.642444300169451,34.9789,,,76.55999755859375,-0.007028545522474914,,3.270042,3.766667,99.78467,
1966-10-31,4801.637011295286,5.549812444400892,5.01,5.5,-0.4900000000000002,,,,,697.0697733989085,0.6739967040738648,9.347818809077513,35.2212,,,80.19999694824219,0.04644876156472305,,3.4856099446210878,3.7287000847175356,99.45576,
1966-11-30,4813.543483897257,5.059361092892067,5.16,5.45,-0.29000000000000004,,,,,702.2211196508064,0.739000089873354,9.061172423027486,34.9788,,,80.44999694824219,0.003112358684170311,,3.6445023625574,3.7013054572709776,99.1511,
1966-12-31,4827.537,4.504402897482795,4.84,5.0,-0.16000000000000014,,,,,706.595,0.6228636859239911,8.76548910952053,35.0596,,,80.33000183105469,-0.001492662524916736,,3.676471,3.7,98.89137,
1967-01-31,4844.683245449606,3.894306763522448,4.58,4.62,-0.040000000000000036,,,,,708.9901552437731,0.3389714396186072,8.469934832109027,35.225,,,86.61000061035156,0.07527211641020067,,3.5237709186516146,3.736316912984979,98.70157,
1967-02-28,4859.544533568016,3.3716903266585385,4.63,4.76,-0.1299999999999999,,,,,710.6329625950638,0.23171088330919964,8.202975542937097,34.8255,,,86.77999877929688,0.0019608769134841454,,3.2897594742600558,3.7855000646700785,98.59973,
1967-03-31,4870.299,2.925069232407873,4.54,4.13,0.41000000000000014,,,,,713.77,0.44144270953607734,7.9100580694807965,34.6292,,,90.19999694824219,0.03865322693177889,,3.023983,3.833333,98.61646,
1967-04-30,4872.080921416077,2.692572709026786,4.59,4.14,0.4500000000000002,,,,,719.336609228125,0.7798883713416194,7.635527139962872,34.9558,,,94.01000213623047,0.04137178907855578,,2.839685255371293,3.853887533771725,98.75565,
1967-05-31,4870.558729069588,2.6168933283471363,4.85,4.18,0.6699999999999999,,,,,726.1674024996084,0.9495962229439714,7.37181926014101,34.6508,,,89.08000183105469,-0.053866319369559615,,2.7282854410746333,3.8511108145042767,99.00388,
1967-06-30,4873.287,2.637737713577337,5.02,4.97,0.04999999999999982,,,,,731.651,0.7551423379121625,7.143840390822231,34.6465,,,90.63999938964844,0.017360747041613334,,2.680412,3.833333,99.3139,
1967-07-31,4885.753469162652,2.6938705418663167,5.16,5.05,0.11000000000000032,,,,,734.8083069943759,0.4315318361316933,6.96808522592085,34.5676,,,94.75,0.04434623397658421,,2.6727182926181086,3.809019966930254,99.64606,
1967-08-31,4903.564667381244,2.7404497904163216,5.28,5.2,0.08000000000000007,,,,,737.7105117850004,0.3949608031100782,6.989287646995179,35.2299,,,93.63999938964844,-0.011784207857890248,,2.6756673045806987,3.7929820959689313,99.96634,
1967-09-30,4919.392,2.7387436004856935,5.3,5.27,0.03000000000000025,,,,,743.298,0.7574093259806958,7.350488082807272,35.1727,,,96.70999908447266,0.03225916415749761,,2.655771,3.8,100.2422,
1967-10-31,4930.004169052082,2.673404038140048,5.48,5.47,0.010000000000000675,,,,,753.7221266131841,1.4024155336330946,8.12721414357689,35.4591,,,93.30000305175781,-0.03589665969975836,,2.6012807826896354,3.8376828238069347,100.4617,
1967-11-30,4939.662475562883,2.6200862646724055,5.75,5.65,0.09999999999999964,,,,,765.0060875610212,1.4970982739409777,8.94091136726789,35.9663,,,94.0,0.007474641707619427,,2.593520297342933,3.880598894536038,100.6203,
1967-12-31,4956.477,2.6709272243796267,5.7,5.76,-0.05999999999999961,,,,,773.178,1.068215347806234,9.423078283882557,36.3536,,,96.47000122070312,0.025937309566165374,,2.735562,3.9,100.7194,
1968-01-31,4985.421722369698,2.9050088476327396,5.53,5.36,0.16999999999999993,,,,,774.7020515178219,0.1971152202755233,9.268379227558544,36.3145,,,92.23999786376953,-0.04483823903484626,,3.08828209171622,3.870989716583397,100.7555,
1968-02-29,5019.67185294542,3.2951096192513685,5.56,5.43,0.1299999999999999,,,,,773.3022910202378,-0.18068372154709245,8.818804041445038,36.4446,,,89.36000061035156,-0.03172069121012303,,3.495424163112708,3.8112532963417816,100.7591,
1968-03-31,5057.553,3.8448152772550426,5.74,5.59,0.15000000000000036,,,,,773.843,0.0699220713608284,8.416296566120728,36.5584,,,90.19999694824219,0.00935623164414235,,3.846154,3.733333,100.7512,
1968-04-30,5090.276384842554,4.4784860298062945,5.64,6.0,-0.3600000000000003,,,,,779.874276949451,0.7793928418879492,8.415763488846363,36.6113,,,97.45999908447266,0.07741263478614001,,3.986476803173853,3.6621677357189455,100.7441,
1968-05-31,5119.0106976584475,5.101097890597073,5.87,6.06,-0.1899999999999995,,,,,789.4282229117384,1.22506232666868,8.711602888586567,37.022,,,98.68000030517578,0.012440266732253569,,4.00256765729576,3.602929049345641,100.7461,
1968-06-30,5142.033,5.514676233925897,5.72,5.91,-0.1900000000000004,,,,,798.123,1.1014018546476212,9.085205924682693,37.158,,,99.58000183105469,0.009079064848076229,,4.016064,3.566667,100.771,
1968-07-31,5160.90861240972,5.631785250397114,5.5,5.5,0.0,,,,,803.7833761209695,0.7092110014332853,9.386811290787644,37.101,,,97.73999786376953,-0.018650489616059626,,4.124186908204624,3.5536997668131396,100.8326,
1968-08-31,5174.399101307265,5.523215299425432,5.42,5.43,-0.009999999999999787,,,,,807.9417070168065,0.5173447248815854,9.520156499040699,37.2045,,,98.86000061035156,0.011393844066958835,,4.299628796828584,3.549313853384578,100.9424,
1968-09-30,5181.859,5.335354450306062,5.46,5.44,0.019999999999999574,,,,,813.391,0.6744661076247827,9.429999811650225,37.3454,,,102.66999816894531,0.0378152294237927,,4.477612,3.533333,101.1004,
1968-10-31,5184.7010182453605,5.166260320673333,5.58,5.66,-0.08000000000000007,,,,,822.3778620759222,1.1048637218658897,9.108892128620338,37.4196,,,103.41000366210938,0.00718176113387262,,4.6210476933492615,3.491417424162936,101.2576,
1968-11-30,5188.831430019272,5.044250607993139,5.7,5.78,-0.08000000000000007,,,,,832.1487941037315,1.1881316944919451,8.776754542800225,37.9036,,,108.37000274658203,0.04684961866901364,,4.706631716578631,3.440753237710813,101.3565,
1968-12-31,5202.212,4.9578561546840705,6.03,6.46,-0.4299999999999997,,,,,840.074,0.9523784631334298,8.652082702818742,38.0233,,,103.86000061035156,-0.0425074789865415,,4.733728,3.4,101.3766,
1969-01-31,5229.291696030863,4.8916618741984275,6.04,6.41,-0.3700000000000001,,,,,843.6595994426492,0.42681947574252366,8.901170171128815,38.2533,,,103.01000213623047,-0.008217752659158733,,4.707423584993046,3.387028141532504,101.3227,
1969-02-28,5258.1508551423385,4.750888288782962,6.19,6.47,-0.27999999999999936,,,,,845.3314443387233,0.19816581203824235,9.314488545411592,38.4981,,,98.12999725341797,-0.04853298940450695,,4.695930270434457,3.3915549358309423,101.2031,
1969-03-31,5283.597,4.469434131486105,6.3,6.27,0.03000000000000025,,,,,848.987,0.43244051617366,9.710496832044747,38.8,,,101.51000213623047,0.03386423461168864,,4.775828,3.4,101.0275,
1969-04-30,5293.893737432748,4.000123710306003,6.17,6.26,-0.08999999999999986,,,,,856.7383664130036,0.9130135576874254,9.855959061018593,38.6573,,,103.69000244140625,0.021248365274557698,,4.992846450060258,3.402044703368109,100.7974,
1969-05-31,5296.054337726197,3.458551867233517,6.32,6.64,-0.3199999999999994,,,,,867.0027188907862,1.1980731668125744,9.826668685966267,38.5111,,,103.45999908447266,-0.002220646389155268,,5.27847701059361,3.408258658761056,100.5183,
1969-06-30,5299.625,3.064780019887059,6.57,7.58,-1.0099999999999998,,,,,875.953,1.0323244569133916,9.751629761327507,38.8874,,,97.70999908447266,-0.057181157139865296,,5.501931,3.433333,100.2353,
1969-07-31,5311.712966653579,2.922050467649062,6.72,7.57,-0.8500000000000005,,,,,881.9083558786505,0.6798716230951296,9.719656076331095,39.0927,,,91.83000183105469,-0.06206483702136505,,5.595743416340327,3.486438381391918,99.98444,
1969-08-31,5326.428310774015,2.938103661705216,6.69,7.64,-0.9499999999999993,,,,,886.2827881972618,0.49601892185873186,9.696377906980057,39.1825,,,95.51000213623047,0.039291914848165486,,5.605438982992643,3.542008064605971,99.77502,
1969-09-30,5334.6,2.947610114439625,7.16,8.01,-0.8499999999999996,,,,,891.625,0.6027660554713599,9.618252476361322,39.1737,,,93.12000274658203,-0.02534196293500018,,5.619048,3.566667,99.58399,
1969-10-31,5330.73000098941,2.816536232854361,7.1,7.58,-0.4800000000000004,,,,,899.9967842625615,0.9389355684914058,9.438352582924159,39.1852,,,97.12000274658203,0.042058342113271203,,5.701094294353739,3.5457636589213486,99.37627,
1969-11-30,5319.767740947588,2.523425798163381,7.14,8.04,-0.8999999999999995,,,,,908.7805778625226,0.9759805538814614,9.20890402074399,38.8158,,,93.80999755859375,-0.034675921478631855,,5.819569551493458,3.525482669443393,99.13227,
1969-12-31,5308.556,2.0442073487201062,7.65,8.32,-0.6699999999999999,,,,,915.449,0.7337769204048827,8.972423857898226,38.7116,,,92.05999755859375,-0.01883092224348258,,5.932203,3.566667,98.84799,
1970-01-31,5303.214341473744,1.4136263520925674,7.79,8.15,-0.3600000000000003,,,,,917.6767922668107,0.24335514778111023,8.773348027220917,37.9948,,,85.0199966430664,-0.0795540284227688,,5.996884309813342,3.7152112508898734,98.53214,
1970-02-28,5301.870283880871,0.83146014526716,7.24,7.11,0.1299999999999999,,,,,918.0495119188319,0.040615569137414376,8.602314283599565,37.9698,,,89.5,0.0513521418342125,,6.024883409452313,3.916256812809872,98.21946,
1970-03-31,5300.652,0.3227914619529093,7.07,6.9,0.16999999999999993,,,,,920.172,0.2311953825596902,8.384698470059027,37.9205,,,89.62999725341797,0.0014514294449029877,55.7473319735971,6.046512,4.166667,97.94032,
1970-04-30,5297.834660013932,0.07444279724238001,7.39,7.72,-0.33000000000000007,,,,,926.4042569644715,0.6772926109978927,8.131524545018953,37.823,,,81.5199966430664,-0.09484170699050809,55.52397055348413,6.072783230610564,4.396971149646922,97.72107,
1970-05-31,5298.1879096455705,0.04028606549926206,7.91,7.65,0.2599999999999998,,,,,935.4390726669333,0.9752562808882148,7.893441656527012,37.7789,,,76.55000305175781,-0.06290418576531005,55.47186583898634,6.081272332408707,4.604978650334269,97.59083,
1970-06-30,5308.164,0.1611246078731865,7.84,7.4,0.4399999999999995,,,,,943.967,0.911649682191884,7.764571843466483,37.6567,,,72.72000122070312,-0.05132769531432473,55.5463162444915,6.038426,4.766667,97.54118,
1970-07-31,5331.078088809765,0.36457395717273133,7.46,7.0,0.45999999999999996,,,,,950.4818771546377,0.6901594181404347,7.775583576103773,37.7491,,,78.05000305175781,0.07073321940590649,55.70207407189282,5.923254719070149,4.891549345312741,97.54273,
1970-08-31,5353.175442609151,0.5021588628356,7.53,6.84,0.6900000000000004,,,,,955.6225560117526,0.5408497500766662,7.823661785820191,37.6818,,,81.5199966430664,0.04349866167372817,55.88691567570079,5.7824481423138945,5.011177479852049,97.58675,
1970-09-30,5357.077,0.42134368087578533,7.39,6.58,0.8099999999999996,,,,,960.905,0.5527751469464492,7.770082714145521,37.4221,,,84.30000305175781,0.03353355347376474,56.0448949291585,5.680793,5.166667,97.69155,
1970-10-31,5333.7480365037845,0.0566158014721152,7.33,6.29,1.04,,,,,967.800743485697,0.7176300972205452,7.533800165596438,36.6735,,,83.25,-0.012533772348416218,56.15138380250715,5.650181201840414,5.3950876125255425,97.8896,
1970-11-30,5305.486022308104,-0.26846507845735834,6.84,5.06,1.7800000000000002,,,,,974.8849677821319,0.7319920287434112,7.273965963829099,36.4514,,,87.19999694824219,0.04635616705715761,56.22194253770343,5.646444618133215,5.634561391280916,98.21911,
1970-12-31,5299.672,-0.16735247777361906,6.39,4.94,1.4499999999999993,,,,,981.085,0.6359757738364946,7.169815030657101,37.2885,,,92.1500015258789,0.05521340475676387,56.2989585314487,5.6,5.833333,98.67146,
1971-01-31,5337.140031464471,0.63971938160996,6.24,4.23,2.01,,,,,985.2485236772095,0.42437950607840946,7.363347529306652,37.5753,,,95.87999725341797,0.0396796802456716,56.4161450286923,5.457596744377824,5.931910564045152,99.16394,
1971-02-28,5390.905554217284,1.6793181569738413,6.11,3.69,2.4200000000000004,,,,,988.7165024957951,0.35199025781254,7.697514094774793,37.5037,,,96.75,0.009032950989745003,56.57920770008312,5.260751780688194,5.951808899057637,99.60385,
1971-03-31,5443.619,2.697158764619889,5.7,3.92,1.7800000000000002,,,,,994.486,0.5835340554791069,8.076098816308242,37.4631,,,100.30999755859375,0.03613503464688941,56.8460170635473,5.0,5.933333,99.93262,
1971-04-30,5466.70715635171,3.187575814933674,5.83,4.77,1.0600000000000005,,,,,1003.4926483692052,0.905658638654061,8.321247535857346,37.6735,,,103.94999694824219,0.035644618389301296,57.19047527473225,4.740582916274561,5.9070793068395036,100.1467,
1971-05-31,5471.017751482256,3.2620557213918655,6.39,5.13,1.2599999999999998,,,,,1014.7789056411311,1.1246975541143733,8.481560722923431,37.8646,,,99.62999725341797,-0.04244668845713874,57.53827469253321,4.517900965599117,5.890668709518635,100.2568,
1971-06-30,5473.059,3.1064413232145816,6.52,6.24,0.27999999999999936,,,,,1025.346,1.041319867818169,8.620958147901359,38.0234,,,98.69999694824219,-0.009378380969039892,57.7498345998532,4.400345,5.9,100.2955,
1971-07-31,5485.863422493844,2.9034527558127854,6.73,6.18,0.5500000000000007,,,,,1034.2000686427377,0.8635200842191493,8.807973460653319,37.9131,,,95.58000183105469,-0.03212130321259195,57.7753762907447,4.404145603319095,5.943433981199902,100.3044,
1971-08-31,5504.238142357389,2.8219269360357346,6.58,5.28,1.2999999999999998,,,,,1041.901796985212,0.7447039094265362,9.028589837136325,37.693,,,99.02999877929688,0.03545920989930051,57.77181193870717,4.431314946831961,5.998275693452759,100.328,
1971-09-30,5518.072,3.005276944871249,6.14,5.27,0.8700000000000001,,,,,1049.77,0.755177027005316,9.248052617064118,38.3056,,,98.33999633789062,-0.0069919974620849005,57.9527932184827,4.351536,6.033333,100.4125,
1971-10-31,5522.13660005447,3.532010928550955,5.93,4.64,1.29,,,,,1059.3501706325444,0.9125971053225435,9.459532632421496,38.5924,,,94.2300033569336,-0.04269218690097056,58.45333517774519,4.076769813618493,6.028660591316866,100.5917,
1971-11-30,5522.987476641429,4.099557579056667,5.81,4.76,1.0499999999999998,,,,,1068.983448020559,0.9093572319210264,9.652264969527803,38.7561,,,93.98999786376953,-0.002550266939620651,59.00011137084974,3.7314310598179943,5.991391455066598,100.8794,
1971-12-31,5531.032,4.365553188952087,5.93,4.46,1.4699999999999998,,,,,1077.712,0.8165282629589488,9.848993716140807,39.2035,,,102.08999633789062,0.08266637040560575,59.2866231490447,3.451179,5.933333,101.2566,
1972-01-31,5554.331116297686,4.069428262192698,5.95,4.36,1.5899999999999999,,,,,1084.2994492484906,0.6112439360878019,10.053394975066476,40.1408,,,103.94000244140625,0.017959091759365137,59.06976640327807,3.362933655951039,5.869138508123596,101.6516,
1972-02-29,5588.119657926704,3.658274138287232,6.08,4.34,1.7400000000000002,,,,,1090.2912509521605,0.5525965827818613,10.273394668740977,40.5459,,,106.56999969482422,0.024988210300339927,58.66465184223572,3.3907994327458297,5.813033173007253,102.0044,
1972-03-31,5632.649,3.4725060662768703,6.07,5.11,0.96,,,,,1099.111,0.8089351391325383,10.520510092650891,40.8263,,,107.19999694824219,0.005894176799564536,58.4104579757008,3.42523,5.766667,102.2806,
1972-04-30,5679.388755595805,3.8904882438596022,6.19,4.61,1.58,,,,,1111.636067984172,1.139563518531972,10.776702728287324,41.2348,,,107.66999816894531,0.004374756652640969,58.61900342425337,3.3782049913775434,5.74056723229836,102.484,
1972-05-31,5725.119560794688,4.64450712563651,6.13,4.64,1.4900000000000002,,,,,1126.4948267505524,1.3366567705314747,11.008892724158459,41.2405,,,109.52999877929688,0.017127496369282635,59.1450104396284,3.265797479844716,5.7225973465130116,102.6402,
1972-06-30,5760.47,5.251377703035898,6.11,5.15,0.96,,,,,1139.652,1.1679745824843657,11.148041734204849,41.3497,,,107.13999938964844,-0.02206208843468697,59.6903773837502,3.140496,5.7,102.7784,
1972-07-31,5783.6447459494175,5.42815780346575,6.11,4.82,1.29,,,,,1149.8142553346645,0.8916981091301901,11.17909292383401,41.3035,,,107.38999938964844,0.0023306774305726498,60.07991903635255,3.0375304186103413,5.660992517435602,102.935,
1972-08-31,5799.166502574818,5.358204942984446,6.21,5.4,0.8099999999999996,,,,,1158.421098695502,0.7485420641555995,11.183328606154962,41.879,,,111.08999633789062,0.03387358844176213,60.33319221579043,2.991231571959608,5.61253676449234,103.1339,
1972-09-30,5814.854,5.378364037294192,6.55,5.61,0.9399999999999995,,,,,1168.057,0.8318133462303923,11.26789677738933,42.2132,,,110.55000305175781,-0.0048727157197011066,60.5455868705106,3.025347,5.566667,103.3538,
1972-10-31,5838.595850872018,5.730739272448027,6.48,5.44,1.04,,,,,1181.3492134435523,1.1379764380978319,11.516403753270898,42.7494,,,111.58000183105469,0.009273903918941558,60.81843184585725,3.1537984151089984,5.524258455085905,103.5596,
1972-11-30,5870.284970691746,6.288218025464576,6.28,5.35,0.9300000000000006,,,,,1196.0023199777293,1.2403704482490951,11.882211290770828,43.2548,,,116.66999816894531,0.04460758231383627,61.16873865883031,3.3267140615862822,5.467889868587609,103.7238,
1972-12-31,5912.22,6.891806086097496,6.36,5.68,0.6800000000000006,,,,,1210.643,1.2241347510549394,12.334556913164185,43.7367,,,118.05000305175781,0.011758868241462616,61.6436165514419,3.49878,5.366667,103.8107,
1973-01-31,5962.454195139346,7.347834875096537,6.46,6.09,0.3700000000000001,,,,,1223.1536799561595,1.0333913429606767,12.805893317008167,44.0529,,,116.02999877929688,-0.017259521544049895,62.227457958884116,3.631515565486568,5.209079467426152,103.796,
1973-02-28,6010.037171883993,7.550259117282909,6.64,6.43,0.20999999999999996,,,,,1233.7862982442814,0.8692790172125431,13.16116653846442,44.6827,,,111.68000030517578,-0.038211126092218516,62.74512405370932,3.7729856469647665,5.056645048448696,103.6695,
1973-03-31,6058.544,7.561184799549903,6.71,7.09,-0.3799999999999999,,,,,1246.838,1.0578575701717163,13.440589712958918,44.7045,,,111.5199966430664,-0.0014337248360685253,63.164662872361,4.038772,4.933333,103.4284,
1973-04-30,6095.327671790634,7.32365636680552,6.67,6.8,-0.1299999999999999,,,,,1262.1087844890199,1.2247609143304805,13.536149180344005,44.6387,,,106.97000122070312,-0.04165548418090556,63.32425430174487,4.460355247512725,4.898069046096061,103.0906,
1973-05-31,6118.883614178716,6.877831095100673,6.85,7.16,-0.3100000000000005,,,,,1279.3440643885451,1.365593846690727,13.568569868971014,44.9429,,,104.94999694824219,-0.019064415541244693,63.343226287442896,4.999957400812654,4.915203660109321,102.6949,
1973-06-30,6124.506,6.319553786409782,6.9,7.74,-0.8399999999999999,,,,,1295.54,1.2659562085196807,13.678561525799093,45.0035,,,104.26000213623047,-0.006596217359021034,63.3757573953064,5.528846,4.933333,102.289,
1973-07-31,6112.636201260828,5.688306764377593,7.13,8.87,-1.7399999999999993,,,,,1310.3225077226166,1.1410305913068353,13.959494035080876,45.1636,,,108.22000122070312,0.03727840366500473,63.54473011466381,6.007198117699151,4.913372051873476,101.9113,
1973-08-31,6096.333369711667,5.124303070189606,7.4,8.47,-1.0700000000000003,,,,,1323.7153985264267,1.0221064451596318,14.268930358490772,45.1019,,,104.25,-0.03737434281550765,63.80880255891012,6.431335936380864,4.861736309339028,101.5847,
1973-09-30,6092.301,4.7713493752379765,7.09,7.5,-0.41000000000000014,,,,,1336.394,0.9578041841688423,14.411711072319244,45.4624,,,108.43000030517578,0.03931294561967562,64.076727803121,6.825397,4.8,101.3243,
1973-10-31,6110.467359675178,4.656453636237812,6.79,7.21,-0.41999999999999993,,,,,1349.856932806754,1.007407456689724,14.264005718682714,45.847,,,108.29000091552734,-0.001291984203895009,64.29416126480912,7.250601824668789,4.744604409708739,101.1131,
1973-11-30,6135.943132709879,4.525473011011738,6.73,7.28,-0.5499999999999998,,,,,1362.2879346104717,0.9209125427736886,13.903452514694026,46.0553,,,95.95999908447266,-0.12088139366391605,64.40991496007972,7.707574090818229,4.724582910101287,100.9053,
1973-12-31,6150.131,4.024055261813664,6.74,7.3,-0.5599999999999996,,,,,1373.126,0.7955781677408291,13.42121500723168,45.923,,,97.55000305175781,0.016433669922381516,64.4010049999491,8.254717,4.766667,100.6834,
1974-01-31,6138.206228528979,2.9476458457812216,6.99,7.12,-0.1299999999999999,,,,,1381.3217918701998,0.596871071569538,12.931172468835594,45.6204,,,96.56999969482422,-0.010096967534481248,64.24382098044849,8.881865203729259,4.885456684862161,100.4574,
