,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_bond_yield_1y,us_term_spread,us_reer,us_reer_log_ret,us_oil_price,us_oil_log_ret,us_credit,us_credit_mom_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_vix_log_ret,us_sp500_close,us_sp500_log_ret,us_house_price_idx,us_cpi,us_unemployment,us_consumer_confidence,us_delinquency_rate
2010-01-31,16535.14621195534,0.8662566123571303,3.73,0.3,3.43,84.38,0.0032049407218466045,72.85,-0.08596988309580827,24444.15677010751,-0.21506540330032964,-2.7156048424762935,89.3426,24.62,0.127168944184862,1073.8699951171875,-0.0376751237121947,95.43146031563653,2.0932310308539877,9.93915236229065,99.19839,6.187875308099707
2010-02-28,16554.73761787115,1.332571584506681,3.69,0.32,3.37,85.16,0.009201433329086043,79.72,0.09011796270338022,24401.663414351708,-0.1738385011822885,-2.6873920294286036,89.6779,19.5,-0.2331446551866064,1104.489990234375,0.028114739741840464,95.01063338382576,2.3406532375862508,9.89931072735432,99.45901,6.009401976501245
2010-03-31,16582.71,1.7452658449103264,3.73,0.41,3.32,84.68,-0.005652393758614163,83.45,0.04572715476325007,24354.295,-0.19411961204189865,-2.716452572088879,90.2928,17.59,-0.10308390682023433,1169.4300537109375,0.0571328154163926,94.634796605452,2.360525,9.833333,99.63284,5.78
2010-04-30,16628.15401752553,2.1522139080587976,3.85,0.41,3.44,84.22,-0.005447023532882795,86.07,0.030913268553538976,24304.816602899453,-0.20316086793128463,-2.782695598054008,90.5991,22.05,0.22598204314338827,1186.68994140625,0.014651373006918428,94.42926568727788,2.2335356899018106,9.769727415037874,99.70318,5.547691802658176
2010-05-31,16686.868083810634,2.5661181579097025,3.42,0.34,3.08,86.74,0.029482715673438402,74.0,-0.1510958254572133,24257.416259220423,-0.19502448610689838,-2.8283672674539684,91.823,32.07,0.37460841181220855,1089.4100341796875,-0.08553157288349063,94.26450406140545,2.0151069936088475,9.70378012979002,99.68058,5.311872786077493
2010-06-30,16743.162,2.91359502911801,3.2,0.32,2.8800000000000003,87.37,0.007236835902783264,75.59,0.02125890609991564,24225.045,-0.13344891671271952,-2.781206793399882,91.9928,34.54,0.07419705901346894,1030.7099609375,-0.055388449405503734,93.9936507929743,1.767765,9.633333,99.60513,5.1
2010-07-31,16791.508317142907,3.1758824673935537,3.01,0.29,2.7199999999999998,85.85,-0.01755038696651882,78.85,0.042223314104961884,24211.74061138888,-0.05491997480755462,-2.5912262730464097,92.3421,23.5,-0.38511765156841926,1101.5999755859375,0.066515799010857,93.48879373036267,1.5213128847356985,9.552964025032663,99.54172,4.907038307693159
2010-08-31,16832.94845008691,3.322628241540926,2.7,0.25,2.45,84.97,-0.010303334328034515,71.93,-0.09185388952978239,24208.78884257142,-0.012191477121936689,-2.313865548008298,92.6805,26.05,0.10301734704926274,1049.3299560546875,-0.048611822887418846,92.8605184358522,1.3141149612973573,9.487859450320279,99.54026,4.735034686441591
2010-09-30,16872.266,3.344209253779229,2.65,0.27,2.38,83.95,-0.012076869491900094,79.95,0.10570801540069824,24202.399,-0.026394722234845958,-2.0402864317145553,92.9537,23.7,-0.0945427200582905,1141.199951171875,0.08392847418803404,92.2847583329001,1.175609,9.466666,99.61214,4.58
2010-10-31,16914.76663144282,3.239756315263187,2.54,0.22,2.32,81.26,-0.032567492963969054,81.45,0.018587895768090983,24182.447781901465,-0.08243487804054928,-1.8152042917531364,92.6903,21.2,-0.11147386646311878,1183.260009765625,0.03619305175049079,91.8218510820787,1.1177234521723585,9.499463736914446,99.74347,4.4247861424381
2010-11-30,16947.987216592584,3.043107863295158,2.76,0.27,2.4899999999999998,81.21,-0.0006154982652613325,84.12,0.03225501578644488,24156.36495308721,-0.10785851394984336,-1.6436668552751943,92.7709,23.54,0.10469992015416392,1180.550048828125,-0.0022928763797244473,91.38737299391971,1.1484566013639474,9.532931179359045,99.92226,4.280362773299664
2010-12-31,16960.864,2.7759609093124693,3.29,0.29,3.0,81.71,0.006138001102296653,91.38,0.08278228530062633,24132.748,-0.097766999021065,-1.4862855173856993,93.6787,17.75,-0.2823155859107059,1257.6400146484375,0.06325648750899807,90.7799135047109,1.270248,9.5,100.1113,4.14
