date,us_credit_qoq_growth,us_sp500_log_ret,us_vix_log_ret,us_bond_yield_10y,us_oil_yoy,us_reer_diff,us_gdp_yoy_growth,us_cpi,us_unemployment,us_consumer_confidence,us_house_price_yoy,us_indprod_yoy
1963-03-31,,0.053533275663077355,,3.93,,,,1.1269472986410234,5.7,100.2192,,4.695792097847495
1963-06-30,,0.04120051596210602,,3.99,,,,1.3240648791790657,5.6,100.3114,,7.371787241808914
1963-09-30,,0.033036168052268895,,4.08,,,,0.9861932938855844,5.5,100.1863,,6.407645796762229
1963-12-31,,0.045263994863854934,,4.13,,,,1.6458196181698526,5.5,100.2154,,6.8968862535701
1964-03-31,,0.051439998455534985,,4.22,,,,1.4093739757456536,5.4,100.4679,,5.912348244807086
1964-06-30,,0.033736926877915796,,4.17,,,,1.3067624959163693,5.2,100.7243,,5.969950706151028
1964-09-30,,0.030025741727692106,,4.2,,,,1.171875,5.1,100.8731,,6.910065401648247
1964-12-31,,0.006748379292858431,,4.18,,,,1.1981865284974136,5.0,101.075,,8.895374797164113
1965-03-31,,0.016500329091163266,,4.21,,,,1.195862960568839,4.7,101.1951,,10.490855216833417
1965-06-30,,-0.023961691866463197,,4.21,,,,1.9348597226700903,4.6,101.0112,,9.952994999616415
1965-09-30,,0.0671207334288061,,4.29,,,,1.737451737451745,4.3,101.1347,,9.880154307758238
1965-12-31,,0.027086487664316674,,4.62,,,,1.9200000000000104,4.0,101.6855,,9.694539175192428
1966-03-31,,-0.03523426104519121,,4.87,,,,2.778664963270528,3.8,101.7511,,9.66913382158847
1966-06-30,,-0.05162962354401211,,4.81,,,,2.4359379943056148,3.8,100.8478,,9.222982294233507
1966-09-30,,-0.10151300473327714,,5.18,,,,3.5736875395319334,3.7,99.78448,,9.159650228749427
1966-12-31,,0.04806845772397669,,4.84,,,,3.3594976452119285,3.8,98.89308,,6.546645839284748
1967-03-31,,0.11588622025546388,,4.54,,,,2.5481665630826544,3.8,98.62083,,2.145608787733977
1967-06-30,,0.004866216750609338,,5.02,,,,2.841260037059889,3.9,99.31921,,0.5987172004889629
1967-09-30,,0.06482119027619136,,5.3,,,,2.595419847328251,3.8,100.2466,,0.5540482976880146
1967-12-31,,-0.0024847084259737233,,5.7,,,,3.280680437424044,3.8,100.7229,,3.6908578534837755
1968-03-31,,-0.06720269860082685,,5.74,,,,3.939393939393932,3.7,100.754,,5.571020988067876
1968-06-30,,0.09893196636646945,,5.72,,,,4.2042042042042205,3.7,100.7729,,7.248928463192517
1968-09-30,,0.03055858387469231,,5.46,,,,4.464285714285721,3.4,101.1021,,6.17723404799746
1968-12-31,,0.01152390081634469,,6.03,,,,4.705882352941182,3.4,101.3782,,4.592942652172005
1969-03-31,,-0.022886507451976876,,6.3,,,,5.247813411078739,3.4,101.0286,,6.131559368024853
